deployment_name,block_index,block_start_utc,lcu_sum,lcu_cost_usd
svc-batch-transform-2gb-slim-container,1,2026-05-08T21:52:38.940680+00:00,0.022178,2.96e-06
svc-batch-transform-2gb-slim-container,2,2026-05-08T23:38:08.971227+00:00,0.021672,2.89e-06
svc-batch-transform-2gb-slim-container,3,2026-05-09T01:23:28.329302+00:00,0.022006,2.93e-06
svc-batch-transform-2gb-slim-container,4,2026-05-09T03:10:03.287985+00:00,0.021611,2.88e-06
svc-batch-transform-2gb-slim-container,5,2026-05-09T04:55:12.850621+00:00,0.0223,2.97e-06
svc-batch-transform-2gb-slim-container,6,2026-05-09T06:48:26.001894+00:00,0.023167,3.09e-06
svc-batch-transform-2gb-slim-container,7,2026-05-09T08:33:39.183195+00:00,0.022839,3.05e-06
svc-batch-transform-2gb-slim-container,8,2026-05-09T10:18:59.862860+00:00,0.026489,3.53e-06
svc-batch-transform-2gb-slim-container,9,2026-05-09T12:15:14.822590+00:00,0.020406,2.72e-06
svc-batch-transform-2gb-slim-container,10,2026-05-09T14:13:52.064751+00:00,0.178156,2.375e-05
svc-batch-transform-2gb-slim-container,11,2026-05-09T15:58:56.963905+00:00,0.198644,2.649e-05
svc-batch-transform-2gb-slim-container,12,2026-05-09T17:44:02.107614+00:00,0.198211,2.643e-05
svc-batch-transform-2gb-slim-container,13,2026-05-09T19:29:11.118795+00:00,0.196022,2.614e-05
svc-batch-transform-2gb-slim-container,14,2026-05-09T21:14:11.269135+00:00,0.200267,2.67e-05
svc-batch-transform-2gb-slim-container,15,2026-05-09T22:59:11.369955+00:00,0.199978,2.666e-05
svc-batch-transform-2gb-slim-container,16,2026-05-10T00:44:31.870218+00:00,0.198022,2.64e-05
svc-batch-transform-2gb-slim-container,17,2026-05-10T02:29:36.732724+00:00,0.205422,2.739e-05
svc-batch-transform-2gb-slim-container,18,2026-05-10T04:29:32.419436+00:00,0.214333,2.858e-05
svc-batch-transform-2gb-slim-container,19,2026-05-10T06:14:37.113822+00:00,0.947022,0.00012627
svc-batch-transform-2gb-slim-container,20,2026-05-10T07:59:37.288014+00:00,0.991244,0.00013217
svc-batch-transform-2gb-slim-container,21,2026-05-10T09:44:37.295323+00:00,0.953311,0.00012711
svc-batch-transform-2gb-slim-container,22,2026-05-10T11:29:38.236509+00:00,1.005911,0.00013412
svc-batch-transform-2gb-slim-container,23,2026-05-10T13:14:38.271562+00:00,1.006378,0.00013418
svc-batch-transform-2gb-slim-container,24,2026-05-10T14:59:38.619208+00:00,0.950978,0.0001268
