deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,1,1k,0.5,small,2026-05-08T21:52:30.935256+00:00,62,0,0.0,107.76,133.58,715.53,133.16,0.0115
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:22.762942+00:00,68,0,0.0,109.59,129.26,785.73,137.14,0.0126
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,3,1k,0.5,large,2026-05-09T01:23:51.745738+00:00,60,0,0.0,113.47,137.52,1957.94,176.22,0.0111
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,4,1k,2.0,small,2026-05-09T03:08:58.425583+00:00,42,0,0.0,97.48,1853.39,1867.62,366.38,0.0078
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,5,1k,2.0,medium,2026-05-09T04:55:18.015767+00:00,62,0,0.0,87.76,1755.08,1822.65,252.74,0.0115
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,6,1k,2.0,large,2026-05-09T06:49:06.633368+00:00,100,0,0.0,84.31,211.56,2100.44,181.27,0.0185
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,7,1k,4.0,small,2026-05-09T08:36:38.707085+00:00,84,0,0.0,82.57,1871.35,2140.72,242.21,0.0156
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,8,1k,4.0,medium,2026-05-09T10:23:50.937250+00:00,50,0,0.0,86.35,1740.17,1853.97,255.09,0.0093
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,9,1k,4.0,large,2026-05-09T12:12:59.094588+00:00,60,0,0.0,83.95,1773.9,1820.11,309.0,0.0111
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,10,10k,0.5,small,2026-05-09T14:09:01.900237+00:00,604,0,0.0,76.04,93.84,107.37,80.61,0.1119
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,11,10k,0.5,medium,2026-05-09T15:54:02.872564+00:00,630,0,0.0,75.05,94.74,108.15,78.96,0.1167
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,12,10k,0.5,large,2026-05-09T17:39:04.012762+00:00,647,0,0.0,75.25,93.88,107.28,79.27,0.1198
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,13,10k,2.0,small,2026-05-09T19:24:12.544433+00:00,673,0,0.0,77.23,102.8,115.75,82.21,0.1246
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,14,10k,2.0,medium,2026-05-09T21:09:14.026460+00:00,594,0,0.0,75.23,102.35,114.18,80.84,0.11
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,15,10k,2.0,large,2026-05-09T22:54:18.578601+00:00,638,0,0.0,76.25,103.09,121.87,81.76,0.1181
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,16,10k,4.0,small,2026-05-10T00:39:26.490218+00:00,403,0,0.0,76.13,107.96,1679.45,104.24,0.0746
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,17,10k,4.0,medium,2026-05-10T02:25:10.879144+00:00,504,0,0.0,74.46,104.72,122.64,93.92,0.0933
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,18,10k,4.0,large,2026-05-10T04:11:23.248616+00:00,700,0,0.0,73.15,96.41,110.14,77.55,0.1296
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,19,50k,0.5,small,2026-05-10T06:01:34.882165+00:00,3098,0,0.0,69.86,81.38,93.61,71.11,0.5737
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,20,50k,0.5,medium,2026-05-10T07:46:35.094113+00:00,3151,0,0.0,69.36,80.61,94.65,70.62,0.5835
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,21,50k,0.5,large,2026-05-10T09:31:36.341660+00:00,3149,0,0.0,70.25,82.17,98.33,72.06,0.5831
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,22,50k,2.0,small,2026-05-10T11:16:36.539785+00:00,3225,0,0.0,70.55,82.62,94.61,71.83,0.5972
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,23,50k,2.0,medium,2026-05-10T13:01:38.536524+00:00,3055,0,0.0,70.96,83.71,96.41,72.45,0.5657
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,24,50k,2.0,large,2026-05-10T14:46:43.954148+00:00,3129,0,0.0,71.1,83.43,97.31,72.56,0.5794
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,25,50k,4.0,small,2026-05-10T16:31:53.820241+00:00,2817,0,0.0,70.37,83.54,99.95,71.98,0.5217
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,26,50k,4.0,medium,2026-05-10T18:17:49.345556+00:00,2919,0,0.0,70.24,83.92,101.18,71.77,0.5406
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,27,50k,4.0,large,2026-05-10T20:02:54.763511+00:00,3291,0,0.0,70.76,85.83,106.13,72.5,0.6094
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,28,100k,0.5,small,2026-05-10T21:49:06.947049+00:00,6202,0,0.0,69.3,80.22,93.68,70.22,1.1485
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,29,100k,0.5,medium,2026-05-10T23:34:06.961735+00:00,6292,0,0.0,68.91,80.09,93.55,69.89,1.1652
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,30,100k,0.5,large,2026-05-11T01:19:07.285055+00:00,6228,0,0.0,69.58,80.71,93.79,70.51,1.1533
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,31,100k,2.0,small,2026-05-11T03:04:07.502210+00:00,6324,0,0.0,69.16,80.44,93.48,70.2,1.1711
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,32,100k,2.0,medium,2026-05-11T04:49:08.186815+00:00,6242,0,0.0,67.79,78.47,90.36,68.63,1.1559
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,33,100k,2.0,large,2026-05-11T06:34:09.670992+00:00,6340,0,0.0,67.9,79.15,94.92,68.9,1.1741
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,34,100k,4.0,small,2026-05-11T08:19:14.079408+00:00,6173,0,0.0,67.9,80.25,95.04,68.99,1.1431
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,35,100k,4.0,medium,2026-05-11T10:04:15.182092+00:00,5853,0,0.0,69.87,80.84,96.75,70.96,1.0839
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,36,100k,4.0,large,2026-05-11T11:49:19.761164+00:00,6190,0,0.0,71.51,85.72,100.58,72.79,1.1463
