deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,1,1k,0.5,small,2026-05-08T21:52:29.934572+00:00,59,0,0.0,137.42,153.39,1531.66,190.77,0.0109
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,2,1k,0.5,medium,2026-05-08T23:37:40.737325+00:00,61,0,0.0,135.42,164.82,851.31,164.86,0.0113
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,3,1k,0.5,large,2026-05-09T01:22:45.765377+00:00,63,0,0.0,137.98,155.94,845.63,164.09,0.0117
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,4,1k,2.0,small,2026-05-09T03:08:49.539966+00:00,54,0,0.0,116.61,1829.43,1942.92,276.92,0.01
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,5,1k,2.0,medium,2026-05-09T04:59:07.006109+00:00,31,0,0.0,135.75,2134.23,2208.25,614.1,0.0057
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,6,1k,2.0,large,2026-05-09T06:45:06.155722+00:00,50,0,0.0,112.37,1902.09,2190.59,335.98,0.0093
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,7,1k,4.0,small,2026-05-09T08:32:57.920144+00:00,51,0,0.0,99.72,1870.35,2003.49,375.57,0.0094
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,8,1k,4.0,medium,2026-05-09T10:44:44.805673+00:00,49,0,0.0,100.6,1855.71,2022.76,387.96,0.0091
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,9,1k,4.0,large,2026-05-09T12:33:09.829837+00:00,90,0,0.0,98.89,1734.66,1857.09,214.29,0.0167
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,10,10k,0.5,small,2026-05-09T14:44:57.169372+00:00,619,0,0.0,85.51,113.16,132.2,93.07,0.1146
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,11,10k,0.5,medium,2026-05-09T16:30:01.174142+00:00,634,0,0.0,86.24,106.66,125.13,90.79,0.1174
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,12,10k,0.5,large,2026-05-09T18:15:07.762971+00:00,636,0,0.0,86.29,109.1,122.32,90.25,0.1178
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,13,10k,2.0,small,2026-05-09T20:00:14.596737+00:00,574,0,0.0,83.83,125.07,137.86,92.38,0.1063
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,14,10k,2.0,medium,2026-05-09T21:46:07.475820+00:00,504,0,0.0,85.64,128.11,147.78,94.36,0.0933
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,15,10k,2.0,large,2026-05-09T23:31:11.946772+00:00,717,0,0.0,84.78,123.86,138.86,91.04,0.1328
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,16,10k,4.0,small,2026-05-10T01:17:19.064553+00:00,602,0,0.0,82.72,130.53,147.79,94.94,0.1115
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,17,10k,4.0,medium,2026-05-10T03:05:32.726546+00:00,593,0,0.0,81.76,125.78,151.17,98.89,0.1098
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,18,10k,4.0,large,2026-05-10T04:52:44.359351+00:00,620,0,0.0,81.28,121.57,140.55,91.32,0.1148
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,19,50k,0.5,small,2026-05-10T06:38:10.913275+00:00,3073,0,0.0,80.11,98.56,115.39,81.81,0.5691
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,20,50k,0.5,medium,2026-05-10T08:23:11.494732+00:00,3138,0,0.0,79.88,98.44,120.86,81.64,0.5811
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,21,50k,0.5,large,2026-05-10T10:08:12.060257+00:00,3098,0,0.0,80.35,97.76,115.94,82.5,0.5737
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,22,50k,2.0,small,2026-05-10T11:53:12.785295+00:00,3110,0,0.0,81.19,99.63,119.42,83.65,0.5759
