deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,1,1k,0.5,small,2026-05-08T21:52:30.434914+00:00,57,0,0.0,139.21,156.47,1102.07,175.24,0.0106
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,2,1k,0.5,medium,2026-05-08T23:37:42.068891+00:00,61,0,0.0,137.58,159.76,870.0,165.26,0.0113
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,3,1k,0.5,large,2026-05-09T01:22:45.091765+00:00,64,0,0.0,139.43,159.44,833.42,163.43,0.0119
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,4,1k,2.0,small,2026-05-09T03:08:40.641219+00:00,41,0,0.0,110.0,1982.02,2266.96,468.43,0.0076
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,5,1k,2.0,medium,2026-05-09T04:57:58.898437+00:00,59,0,0.0,117.94,1901.29,2013.93,353.4,0.0109
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,6,1k,2.0,large,2026-05-09T06:43:02.151689+00:00,68,0,0.0,111.91,1806.77,1931.48,266.15,0.0126
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,7,1k,4.0,small,2026-05-09T08:28:21.102424+00:00,108,0,0.0,96.75,173.38,1942.25,180.03,0.02
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,8,1k,4.0,medium,2026-05-09T10:34:23.797283+00:00,66,0,0.0,98.15,1800.48,1895.83,231.58,0.0122
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,9,1k,4.0,large,2026-05-09T12:28:48.011057+00:00,59,0,0.0,98.58,1834.23,1930.43,305.65,0.0109
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,10,10k,0.5,small,2026-05-09T14:16:59.119024+00:00,631,0,0.0,86.25,108.41,131.33,93.29,0.1169
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,11,10k,0.5,medium,2026-05-09T16:02:02.664137+00:00,624,0,0.0,86.81,109.86,130.47,92.07,0.1156
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,12,10k,0.5,large,2026-05-09T17:47:04.335224+00:00,615,0,0.0,86.57,110.0,126.99,94.67,0.1139
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,13,10k,2.0,small,2026-05-09T19:32:07.469641+00:00,554,0,0.0,86.17,130.43,145.79,93.89,0.1026
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,14,10k,2.0,medium,2026-05-09T21:17:12.816365+00:00,635,0,0.0,85.47,124.41,141.68,93.3,0.1176
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,15,10k,2.0,large,2026-05-09T23:02:13.164694+00:00,652,0,0.0,84.58,125.83,150.77,91.85,0.1207
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,16,10k,4.0,small,2026-05-10T00:47:16.189309+00:00,904,0,0.0,82.13,122.53,150.09,91.59,0.1674
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,17,10k,4.0,medium,2026-05-10T02:32:27.559926+00:00,700,0,0.0,81.61,126.4,146.54,91.58,0.1296
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,18,10k,4.0,large,2026-05-10T04:17:58.732123+00:00,627,0,0.0,81.9,121.08,145.14,92.7,0.1161
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,19,50k,0.5,small,2026-05-10T06:03:06.569175+00:00,3099,0,0.0,82.74,105.07,123.75,84.71,0.5739
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,20,50k,0.5,medium,2026-05-10T07:48:06.878052+00:00,3116,0,0.0,80.81,99.75,118.34,82.44,0.577
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,21,50k,0.5,large,2026-05-10T09:33:08.263629+00:00,3092,0,0.0,79.83,95.6,111.65,81.26,0.5726
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,22,50k,2.0,small,2026-05-10T11:18:09.785522+00:00,3321,0,0.0,80.68,99.53,119.17,82.53,0.615
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,23,50k,2.0,medium,2026-05-10T13:03:10.646576+00:00,3129,0,0.0,80.63,99.76,121.17,82.75,0.5794
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,24,50k,2.0,large,2026-05-10T14:48:12.270561+00:00,3058,0,0.0,80.63,98.99,119.47,82.92,0.5663
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,25,50k,4.0,small,2026-05-10T16:33:12.547501+00:00,2900,0,0.0,80.83,100.53,127.18,83.72,0.537
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,26,50k,4.0,medium,2026-05-10T18:18:34.524336+00:00,3289,0,0.0,80.69,99.92,124.12,83.36,0.6091
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,27,50k,4.0,large,2026-05-10T20:03:57.842335+00:00,3016,0,0.0,80.61,99.52,125.22,83.18,0.5585
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,28,100k,0.5,small,2026-05-10T21:49:05.727536+00:00,6190,0,0.0,80.08,96.96,110.37,81.0,1.1463
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,29,100k,0.5,medium,2026-05-10T23:34:06.225210+00:00,6285,0,0.0,80.29,97.78,113.28,81.3,1.1639
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,30,100k,0.5,large,2026-05-11T01:19:06.429623+00:00,6194,0,0.0,82.01,101.22,115.6,83.14,1.147
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,31,100k,2.0,small,2026-05-11T03:04:07.062078+00:00,6234,0,0.0,80.27,99.24,115.53,81.39,1.1544
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,32,100k,2.0,medium,2026-05-11T04:49:08.617189+00:00,6020,0,0.0,79.56,98.44,117.07,80.38,1.1148
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,33,100k,2.0,large,2026-05-11T06:34:10.986516+00:00,5898,0,0.0,78.88,92.74,110.26,78.43,1.0922
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,34,100k,4.0,small,2026-05-11T08:19:11.533674+00:00,6635,0,0.0,79.71,98.37,118.33,80.24,1.2287
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,35,100k,4.0,medium,2026-05-11T10:04:11.892776+00:00,6127,0,0.0,80.0,98.2,117.35,81.03,1.1346
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,36,100k,4.0,large,2026-05-11T11:49:11.900970+00:00,5764,0,0.0,80.44,99.39,119.85,82.38,1.0674
