deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,1,1k,0.5,small,2026-05-08T21:52:42.943471+00:00,57,0,0.0,8.1,10.24,12.7,8.46,0.0106
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:22.315084+00:00,53,0,0.0,7.88,9.76,12.33,8.37,0.0098
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,3,1k,0.5,large,2026-05-09T01:24:38.542384+00:00,64,0,0.0,8.15,14.65,18.87,9.45,0.0119
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,4,1k,2.0,small,2026-05-09T03:09:41.852104+00:00,50,0,0.0,7.7,8.8,9.63,7.82,0.0093
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,5,1k,2.0,medium,2026-05-09T04:58:50.978216+00:00,56,0,0.0,7.89,12.16,18.31,8.77,0.0104
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,6,1k,2.0,large,2026-05-09T06:47:04.329613+00:00,56,0,0.0,8.44,13.11,43.4,10.1,0.0104
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,7,1k,4.0,small,2026-05-09T08:34:45.042931+00:00,103,0,0.0,7.67,10.68,21.87,8.04,0.0191
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,8,1k,4.0,medium,2026-05-09T10:35:45.883107+00:00,107,0,0.0,7.5,9.59,12.58,7.63,0.0198
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,9,1k,4.0,large,2026-05-09T12:22:59.083025+00:00,60,0,0.0,8.03,13.54,22.02,8.91,0.0111
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,10,10k,0.5,small,2026-05-09T14:18:47.593865+00:00,623,0,0.0,7.85,10.11,13.25,8.29,0.1154
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,11,10k,0.5,medium,2026-05-09T16:03:51.256411+00:00,620,0,0.0,7.93,10.79,18.0,8.49,0.1148
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,12,10k,0.5,large,2026-05-09T17:48:58.776930+00:00,614,0,0.0,8.1,11.96,20.85,8.93,0.1137
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,13,10k,2.0,small,2026-05-09T19:34:04.252882+00:00,642,0,0.0,7.82,10.66,16.3,8.22,0.1189
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,14,10k,2.0,medium,2026-05-09T21:19:56.982803+00:00,586,0,0.0,7.86,10.66,14.05,8.23,0.1085
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,15,10k,2.0,large,2026-05-09T23:05:08.757458+00:00,690,0,0.0,8.04,11.36,32.21,8.81,0.1278
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,16,10k,4.0,small,2026-05-10T00:50:45.846336+00:00,598,0,0.0,7.04,10.06,17.72,7.58,0.1107
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,17,10k,4.0,medium,2026-05-10T02:38:45.954849+00:00,795,0,0.0,7.06,9.53,16.63,7.65,0.1472
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,18,10k,4.0,large,2026-05-10T04:24:13.804394+00:00,591,0,0.0,7.28,10.24,16.36,7.81,0.1094
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,19,50k,0.5,small,2026-05-10T06:09:48.480733+00:00,3180,0,0.0,7.57,9.72,15.53,8.05,0.5889
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,20,50k,0.5,medium,2026-05-10T07:54:49.069797+00:00,3146,0,0.0,7.6,10.05,16.72,8.12,0.5826
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,21,50k,0.5,large,2026-05-10T09:39:50.087106+00:00,3099,0,0.0,7.83,10.46,18.57,8.41,0.5739
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,22,50k,2.0,small,2026-05-10T11:24:50.267403+00:00,3300,0,0.0,7.66,9.95,15.32,7.97,0.6111
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,23,50k,2.0,medium,2026-05-10T13:10:00.427414+00:00,3201,0,0.0,7.75,10.36,17.62,8.15,0.5928
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,24,50k,2.0,large,2026-05-10T14:55:01.908689+00:00,3253,0,0.0,7.88,10.71,18.09,8.24,0.6024
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,25,50k,4.0,small,2026-05-10T16:40:03.774128+00:00,3057,0,0.0,7.04,9.39,13.57,7.42,0.5661
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,26,50k,4.0,medium,2026-05-10T18:25:20.688790+00:00,2870,0,0.0,7.04,9.56,14.34,7.48,0.5315
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,27,50k,4.0,large,2026-05-10T20:10:58.396171+00:00,3552,0,0.0,6.98,9.93,16.36,7.56,0.6578
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,28,100k,0.5,small,2026-05-10T21:56:04.914984+00:00,6237,0,0.0,7.72,10.2,16.68,8.25,1.155
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,29,100k,0.5,medium,2026-05-10T23:41:05.645200+00:00,6310,0,0.0,7.61,10.09,15.86,8.1,1.1685
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,30,100k,0.5,large,2026-05-11T01:26:06.086873+00:00,6317,0,0.0,7.84,10.98,21.7,8.52,1.1698
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,31,100k,2.0,small,2026-05-11T03:11:06.635919+00:00,6437,0,0.0,7.51,10.18,15.01,7.88,1.192
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,32,100k,2.0,medium,2026-05-11T14:02:06.839941+00:00,6357,0,0.0,5.38,7.9,14.38,5.6,1.1772
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,33,100k,2.0,large,2026-05-11T15:47:07.146992+00:00,6453,0,0.0,5.15,7.24,15.83,5.3,1.195
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,34,100k,4.0,small,2026-05-11T17:32:18.974360+00:00,6611,0,0.0,4.2,6.84,13.8,4.84,1.2243
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,35,100k,4.0,medium,2026-05-11T19:17:22.015669+00:00,6267,0,0.0,4.29,6.79,10.76,4.82,1.1606
svc-enterprise-microservice-2gb-slim-container,enterprise-microservice,fargate,2048,slim,36,100k,4.0,large,2026-05-11T21:02:24.252723+00:00,5997,0,0.0,3.97,6.69,12.58,4.59,1.1106
