deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,1,1k,0.5,small,2026-05-08T21:52:34.937999+00:00,67,0,0.0,52.13,63.81,722.34,72.41,0.0124
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,2,1k,0.5,medium,2026-05-08T23:40:11.195722+00:00,67,0,0.0,51.73,65.2,359.31,65.28,0.0124
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,3,1k,0.5,large,2026-05-09T01:26:33.477773+00:00,61,0,0.0,52.01,65.34,362.49,65.05,0.0113
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,4,1k,2.0,small,2026-05-09T03:12:37.859424+00:00,56,0,0.0,50.77,771.2,823.58,150.4,0.0104
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,5,1k,2.0,medium,2026-05-09T04:57:53.435365+00:00,44,0,0.0,52.34,768.27,794.06,209.75,0.0081
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,6,1k,2.0,large,2026-05-09T06:42:55.244456+00:00,60,0,0.0,50.18,763.25,845.6,131.85,0.0111
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,7,1k,4.0,small,2026-05-09T08:27:56.889560+00:00,70,0,0.0,45.9,719.58,837.59,107.74,0.013
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,8,1k,4.0,medium,2026-05-09T10:42:22.432457+00:00,37,0,0.0,47.63,768.33,862.42,110.41,0.0069
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,9,1k,4.0,large,2026-05-09T12:48:30.445162+00:00,20,0,0.0,55.95,796.41,841.6,233.18,0.0037
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,10,10k,0.5,small,2026-05-09T14:37:34.086420+00:00,617,0,0.0,40.76,52.55,57.71,43.86,0.1143
svc-enterprise-microservice-2gb-slim-serverless,enterprise-microservice,lambda,2048,slim,11,10k,0.5,medium,2026-05-09T16:22:38.173591+00:00,613,0,0.0,41.27,51.56,60.58,43.32,0.1135
