deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,1,1k,0.5,small,2026-05-08T21:52:43.443839+00:00,66,0,0.0,7.57,9.92,18.64,8.17,0.0122
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,2,1k,0.5,medium,2026-05-08T23:38:30.039624+00:00,69,0,0.0,7.62,11.18,32.81,8.75,0.0128
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,3,1k,0.5,large,2026-05-09T01:23:41.422718+00:00,67,0,0.0,8.24,14.55,27.86,9.82,0.0124
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,4,1k,2.0,small,2026-05-09T03:09:11.889968+00:00,54,0,0.0,7.3,8.93,10.18,7.56,0.01
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,5,1k,2.0,medium,2026-05-09T05:02:02.204829+00:00,67,0,0.0,7.39,9.99,13.36,7.87,0.0124
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,6,1k,2.0,large,2026-05-09T06:49:41.872103+00:00,76,0,0.0,7.64,10.55,13.4,8.08,0.0141
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,7,1k,4.0,small,2026-05-09T08:37:30.400254+00:00,66,0,0.0,6.67,9.58,18.33,7.24,0.0122
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,8,1k,4.0,medium,2026-05-09T10:26:28.214023+00:00,154,0,0.0,6.9,10.72,14.87,7.52,0.0285
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,9,1k,4.0,large,2026-05-09T12:13:01.382191+00:00,10,0,0.0,8.53,8.98,9.01,8.23,0.0019
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,10,10k,0.5,small,2026-05-09T14:48:34.841085+00:00,630,0,0.0,7.36,9.97,15.84,7.84,0.1167
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,11,10k,0.5,medium,2026-05-09T16:33:42.539654+00:00,609,0,0.0,7.39,10.09,15.17,7.85,0.1128
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,12,10k,0.5,large,2026-05-09T18:18:50.034157+00:00,615,0,0.0,7.58,10.53,29.48,8.44,0.1139
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,13,10k,2.0,small,2026-05-09T20:03:55.223150+00:00,635,0,0.0,7.25,9.28,11.84,7.47,0.1176
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,14,10k,2.0,medium,2026-05-09T21:48:59.575245+00:00,577,0,0.0,7.26,9.26,15.72,7.53,0.1069
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,15,10k,2.0,large,2026-05-09T23:33:59.786029+00:00,637,0,0.0,7.49,10.9,18.78,8.0,0.118
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,16,10k,4.0,small,2026-05-10T01:19:24.198681+00:00,515,0,0.0,6.63,9.29,25.34,7.3,0.0954
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,17,10k,4.0,medium,2026-05-10T03:04:28.996108+00:00,697,0,0.0,6.53,9.38,14.59,6.95,0.1291
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,18,10k,4.0,large,2026-05-10T04:49:39.021641+00:00,724,0,0.0,6.54,10.89,29.35,7.69,0.1341
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,19,50k,0.5,small,2026-05-10T06:34:52.707857+00:00,3152,0,0.0,6.88,9.13,14.78,7.34,0.5837
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,20,50k,0.5,medium,2026-05-10T08:19:53.144142+00:00,3164,0,0.0,6.94,9.29,16.45,7.42,0.5859
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,21,50k,0.5,large,2026-05-10T10:04:55.940871+00:00,3102,0,0.0,7.36,10.15,19.61,7.92,0.5744
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,22,50k,2.0,small,2026-05-10T11:49:56.485370+00:00,3062,0,0.0,7.17,9.52,14.65,7.52,0.567
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,23,50k,2.0,medium,2026-05-10T13:35:01.803897+00:00,2993,0,0.0,7.22,9.53,16.1,7.54,0.5543
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,24,50k,2.0,large,2026-05-10T15:20:06.743683+00:00,3181,0,0.0,7.33,10.31,18.6,7.66,0.5891
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,25,50k,4.0,small,2026-05-10T17:05:15.439307+00:00,3291,0,0.0,6.36,8.66,14.38,6.81,0.6094
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,26,50k,4.0,medium,2026-05-10T18:50:23.952646+00:00,3264,0,0.0,6.44,8.88,14.96,6.96,0.6044
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,27,50k,4.0,large,2026-05-10T20:35:38.166526+00:00,3111,0,0.0,6.45,9.45,16.52,7.12,0.5761
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,28,100k,0.5,small,2026-05-10T22:20:39.270640+00:00,6252,0,0.0,7.14,9.47,14.76,7.6,1.1578
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,29,100k,0.5,medium,2026-05-11T00:05:39.781394+00:00,6283,0,0.0,6.99,9.31,15.38,7.46,1.1635
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,30,100k,0.5,large,2026-05-11T01:50:40.672659+00:00,6244,0,0.0,7.35,10.34,18.79,7.93,1.1563
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,31,100k,2.0,small,2026-05-11T03:35:41.208035+00:00,6038,0,0.0,6.75,9.42,16.45,7.22,1.1181
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,32,100k,2.0,medium,2026-05-11T14:02:07.340293+00:00,6205,0,0.0,5.47,7.86,13.38,5.75,1.1491
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,33,100k,2.0,large,2026-05-11T15:47:14.720015+00:00,6438,0,0.0,5.12,7.45,17.07,5.44,1.1922
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,34,100k,4.0,small,2026-05-11T17:32:14.908032+00:00,6637,0,0.0,4.6,6.99,12.56,5.12,1.2291
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,35,100k,4.0,medium,2026-05-11T19:17:26.093462+00:00,7041,0,0.0,4.65,7.08,12.4,5.14,1.3039
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,36,100k,4.0,large,2026-05-11T21:02:48.940409+00:00,6518,0,0.0,4.11,6.62,13.62,4.69,1.207
