deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,1,1k,0.5,small,2026-05-08T21:52:35.438320+00:00,67,0,0.0,50.65,70.41,751.96,72.43,0.0124
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,2,1k,0.5,medium,2026-05-08T23:38:15.559931+00:00,60,0,0.0,53.65,69.09,430.1,69.1,0.0111
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,3,1k,0.5,large,2026-05-09T01:23:19.681140+00:00,68,0,0.0,51.33,66.88,406.09,66.81,0.0126
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,4,1k,2.0,small,2026-05-09T03:09:25.297325+00:00,54,0,0.0,52.37,783.62,893.34,134.88,0.01
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,5,1k,2.0,medium,2026-05-09T04:54:26.955534+00:00,67,0,0.0,51.86,735.81,840.23,125.74,0.0124
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,6,1k,2.0,large,2026-05-09T06:41:03.354753+00:00,59,0,0.0,49.81,769.06,796.54,146.06,0.0109
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,7,1k,4.0,small,2026-05-09T08:27:50.934773+00:00,85,0,0.0,47.46,869.72,1074.68,156.61,0.0157
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,8,1k,4.0,medium,2026-05-09T10:13:07.634788+00:00,114,0,0.0,47.41,734.96,798.25,98.65,0.0211
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,9,1k,4.0,large,2026-05-09T12:09:44.118061+00:00,87,0,0.0,48.67,731.47,1119.29,124.27,0.0161
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,10,10k,0.5,small,2026-05-09T14:00:51.556926+00:00,622,0,0.0,41.79,53.85,63.64,45.04,0.1152
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,11,10k,0.5,medium,2026-05-09T15:45:59.737460+00:00,637,0,0.0,40.92,52.38,66.25,43.1,0.118
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,12,10k,0.5,large,2026-05-09T17:31:08.675878+00:00,637,0,0.0,41.28,52.13,61.23,43.38,0.118
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,13,10k,2.0,small,2026-05-09T19:16:10.825675+00:00,628,0,0.0,40.21,51.81,61.54,42.65,0.1163
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,14,10k,2.0,medium,2026-05-09T21:01:32.600290+00:00,603,0,0.0,40.26,53.08,59.81,42.45,0.1117
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,15,10k,2.0,large,2026-05-09T22:46:50.292005+00:00,719,0,0.0,40.09,50.84,60.87,42.2,0.1331
