deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,1,1k,0.5,small,2026-05-08T21:52:33.937299+00:00,66,0,0.0,52.58,65.23,812.93,76.14,0.0122
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,2,1k,0.5,medium,2026-05-08T23:38:27.713453+00:00,67,0,0.0,53.91,74.94,428.07,68.16,0.0124
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,3,1k,0.5,large,2026-05-09T01:25:09.279076+00:00,67,0,0.0,53.41,65.31,363.74,66.7,0.0124
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,4,1k,2.0,small,2026-05-09T03:10:38.109531+00:00,55,0,0.0,52.37,878.11,1114.75,162.58,0.0102
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,5,1k,2.0,medium,2026-05-09T05:00:19.042362+00:00,54,0,0.0,53.67,804.78,896.12,176.39,0.01
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,6,1k,2.0,large,2026-05-09T06:58:21.456778+00:00,63,0,0.0,50.23,865.54,946.78,152.57,0.0117
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,7,1k,4.0,small,2026-05-09T08:53:17.750371+00:00,112,0,0.0,44.53,773.08,882.04,94.69,0.0207
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,8,1k,4.0,medium,2026-05-09T10:39:22.713731+00:00,70,0,0.0,48.88,806.54,835.65,133.02,0.013
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,9,1k,4.0,large,2026-05-09T12:27:57.826747+00:00,45,0,0.0,50.51,904.16,1052.41,196.39,0.0083
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,10,10k,0.5,small,2026-05-09T14:18:40.352465+00:00,622,0,0.0,41.49,52.34,60.56,43.78,0.1152
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,11,10k,0.5,medium,2026-05-09T16:03:47.482285+00:00,632,0,0.0,40.77,51.07,60.84,42.67,0.117
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,12,10k,0.5,large,2026-05-09T17:48:52.894723+00:00,630,0,0.0,41.14,51.94,57.47,43.08,0.1167
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,13,10k,2.0,small,2026-05-09T19:33:56.055739+00:00,600,0,0.0,40.27,50.57,56.83,42.5,0.1111
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,14,10k,2.0,medium,2026-05-09T21:19:00.331819+00:00,618,0,0.0,39.81,52.35,57.32,42.23,0.1144
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,15,10k,2.0,large,2026-05-09T23:04:06.494365+00:00,595,0,0.0,40.78,51.84,63.1,42.89,0.1102
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,16,10k,4.0,small,2026-05-10T00:49:27.649854+00:00,704,0,0.0,39.63,51.14,57.09,41.58,0.1304
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,17,10k,4.0,medium,2026-05-10T02:34:37.349963+00:00,762,0,0.0,38.9,50.54,61.83,41.93,0.1411
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,18,10k,4.0,large,2026-05-10T04:20:25.245497+00:00,785,0,0.0,38.93,51.05,59.16,41.19,0.1454
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,19,50k,0.5,small,2026-05-10T06:05:28.800739+00:00,3124,0,0.0,35.11,43.92,53.03,36.21,0.5785
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,20,50k,0.5,medium,2026-05-10T07:50:29.037372+00:00,3064,0,0.0,35.16,44.22,51.57,36.29,0.5674
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,21,50k,0.5,large,2026-05-10T09:35:31.129364+00:00,3121,0,0.0,34.94,43.85,50.74,36.23,0.578
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,22,50k,2.0,small,2026-05-10T11:20:31.297364+00:00,3277,0,0.0,35.78,44.91,53.41,37.05,0.6069
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,23,50k,2.0,medium,2026-05-10T13:05:46.859030+00:00,2989,0,0.0,35.74,44.94,52.01,36.84,0.5535
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,24,50k,2.0,large,2026-05-10T14:50:47.290769+00:00,3212,0,0.0,36.17,44.98,52.1,37.99,0.5948
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,25,50k,4.0,small,2026-05-10T16:35:48.432933+00:00,3292,0,0.0,35.66,44.44,51.42,36.57,0.6096
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,26,50k,4.0,medium,2026-05-10T18:20:48.447656+00:00,3070,0,0.0,35.75,45.09,51.48,36.81,0.5685
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,27,50k,4.0,large,2026-05-10T20:05:49.280739+00:00,2967,0,0.0,35.82,45.53,53.26,36.97,0.5494
