deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,1,1k,0.5,small,2026-05-08T21:52:42.443110+00:00,64,0,0.0,6.1,10.77,12.14,6.68,0.0119
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,2,1k,0.5,medium,2026-05-08T23:38:13.251326+00:00,63,0,0.0,6.25,9.48,12.05,6.75,0.0117
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,3,1k,0.5,large,2026-05-09T01:23:32.730880+00:00,70,0,0.0,6.44,13.06,35.43,8.27,0.013
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,4,1k,2.0,small,2026-05-09T03:10:28.853493+00:00,91,0,0.0,6.11,9.64,13.39,6.8,0.0169
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,5,1k,2.0,medium,2026-05-09T04:55:44.574899+00:00,64,0,0.0,6.09,10.24,32.91,7.49,0.0119
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,6,1k,2.0,large,2026-05-09T06:44:06.271240+00:00,85,0,0.0,5.84,9.9,14.53,6.42,0.0157
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,7,1k,4.0,small,2026-05-09T08:40:02.909659+00:00,133,0,0.0,5.65,10.33,18.3,6.22,0.0246
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,8,1k,4.0,medium,2026-05-09T10:30:49.733970+00:00,92,0,0.0,5.91,7.68,20.24,6.23,0.017
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,9,1k,4.0,large,2026-05-09T12:46:10.587180+00:00,73,0,0.0,5.63,8.55,16.14,5.93,0.0135
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,10,10k,0.5,small,2026-05-09T14:34:11.036524+00:00,627,0,0.0,6.23,9.31,15.38,6.74,0.1161
