deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,1,1k,0.5,small,2026-05-08T21:52:34.437670+00:00,52,0,0.0,52.5,71.46,783.27,80.81,0.0096
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,2,1k,0.5,medium,2026-05-08T23:37:49.886257+00:00,54,0,0.0,55.84,68.19,452.55,69.86,0.01
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,3,1k,0.5,large,2026-05-09T01:23:11.221395+00:00,68,0,0.0,52.58,65.73,313.38,63.71,0.0126
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,4,1k,2.0,small,2026-05-09T03:10:00.704807+00:00,71,0,0.0,50.8,837.74,899.16,150.18,0.0131
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,5,1k,2.0,medium,2026-05-09T05:01:49.571792+00:00,55,0,0.0,50.18,859.7,1088.23,184.69,0.0102
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,6,1k,2.0,large,2026-05-09T06:50:45.167307+00:00,74,0,0.0,49.69,856.48,1128.76,170.24,0.0137
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,7,1k,4.0,small,2026-05-09T08:44:41.181607+00:00,112,0,0.0,47.11,749.09,839.94,95.52,0.0207
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,8,1k,4.0,medium,2026-05-09T10:31:13.074265+00:00,66,0,0.0,48.42,811.83,932.43,153.52,0.0122
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,9,1k,4.0,large,2026-05-09T12:19:20.590042+00:00,34,0,0.0,48.42,813.01,839.52,158.44,0.0063
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,10,10k,0.5,small,2026-05-09T14:56:44.960195+00:00,635,0,0.0,41.78,53.69,64.4,43.98,0.1176
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,11,10k,0.5,medium,2026-05-09T16:41:53.317580+00:00,611,0,0.0,41.32,52.35,58.48,43.56,0.1131
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,12,10k,0.5,large,2026-05-09T18:27:00.156366+00:00,622,0,0.0,41.65,52.54,57.83,43.69,0.1152
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,13,10k,2.0,small,2026-05-09T20:12:07.886809+00:00,637,0,0.0,41.29,53.01,58.78,43.25,0.118
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,14,10k,2.0,medium,2026-05-09T21:57:10.179393+00:00,671,0,0.0,40.09,49.79,55.83,41.87,0.1243
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,15,10k,2.0,large,2026-05-09T23:42:13.874561+00:00,614,0,0.0,40.63,50.89,59.73,42.63,0.1137
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,16,10k,4.0,small,2026-05-10T01:27:49.871346+00:00,741,0,0.0,39.19,50.53,57.7,42.3,0.1372
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,17,10k,4.0,medium,2026-05-10T03:13:32.329897+00:00,669,0,0.0,38.89,51.72,58.4,42.93,0.1239
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,18,10k,4.0,large,2026-05-10T05:02:31.057105+00:00,544,0,0.0,37.37,50.79,63.39,43.27,0.1007
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,19,50k,0.5,small,2026-05-10T06:48:14.533584+00:00,3130,0,0.0,34.97,43.67,49.25,36.35,0.5796
svc-enterprise-microservice-512mb-standard-serverless,enterprise-microservice,lambda,512,standard,20,50k,0.5,medium,2026-05-10T08:33:14.803184+00:00,3142,0,0.0,34.91,43.36,51.12,36.04,0.5819
