deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,1,1k,0.5,small,2026-05-08T21:52:28.933956+00:00,68,0,0.0,95.99,112.7,471.63,111.14,0.0126
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:03.676347+00:00,64,0,0.0,100.29,112.62,696.21,123.57,0.0119
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,3,1k,0.5,large,2026-05-09T01:23:59.347610+00:00,66,0,0.0,95.35,108.71,597.68,115.68,0.0122
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,4,1k,2.0,small,2026-05-09T03:09:20.490739+00:00,65,0,0.0,88.23,126.31,1145.54,134.49,0.012
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,5,1k,2.0,medium,2026-05-09T04:58:00.326693+00:00,83,0,0.0,80.47,1073.73,1179.06,159.76,0.0154
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,6,1k,2.0,large,2026-05-09T06:48:27.740963+00:00,72,0,0.0,82.08,1138.51,1218.8,212.67,0.0133
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,7,1k,4.0,small,2026-05-09T08:33:52.065937+00:00,43,0,0.0,74.02,926.74,1459.93,163.43,0.008
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,8,1k,4.0,medium,2026-05-09T10:56:57.724800+00:00,80,0,0.0,76.91,1040.61,1131.85,163.98,0.0148
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,9,1k,4.0,large,2026-05-09T12:42:03.254732+00:00,91,0,0.0,76.02,1023.1,1147.71,154.72,0.0169
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,10,10k,0.5,small,2026-05-09T14:32:07.970619+00:00,619,0,0.0,68.69,82.43,95.27,73.05,0.1146
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,11,10k,0.5,medium,2026-05-09T16:17:12.598711+00:00,628,0,0.0,67.51,81.69,92.08,69.91,0.1163
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,12,10k,0.5,large,2026-05-09T18:02:22.859187+00:00,645,0,0.0,68.01,80.23,91.15,70.41,0.1194
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,13,10k,2.0,small,2026-05-09T19:47:24.134091+00:00,550,0,0.0,68.44,88.97,103.13,72.16,0.1019
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,14,10k,2.0,medium,2026-05-09T21:32:39.273827+00:00,538,0,0.0,67.99,88.79,101.04,71.85,0.0996
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,15,10k,2.0,large,2026-05-09T23:17:48.872370+00:00,631,0,0.0,66.85,87.11,98.26,71.01,0.1169
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,16,10k,4.0,small,2026-05-10T01:03:20.129520+00:00,689,0,0.0,66.36,88.16,103.69,71.3,0.1276
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,17,10k,4.0,medium,2026-05-10T02:49:26.613879+00:00,636,0,0.0,66.27,88.1,107.8,73.55,0.1178
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,18,10k,4.0,large,2026-05-10T04:34:51.495154+00:00,919,0,0.0,64.76,85.09,96.54,67.41,0.1702
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,19,50k,0.5,small,2026-05-10T06:24:54.897193+00:00,3119,0,0.0,60.91,71.07,80.1,61.95,0.5776
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,20,50k,0.5,medium,2026-05-10T08:09:54.954951+00:00,3087,0,0.0,61.52,71.73,82.41,62.84,0.5717
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,21,50k,0.5,large,2026-05-10T09:54:55.699978+00:00,3123,0,0.0,61.67,71.86,83.57,62.97,0.5783
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,22,50k,2.0,small,2026-05-10T11:39:56.689868+00:00,3285,0,0.0,62.36,72.39,82.94,63.56,0.6083
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,23,50k,2.0,medium,2026-05-10T13:24:58.877488+00:00,3186,0,0.0,62.49,72.63,83.62,63.59,0.59
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,24,50k,2.0,large,2026-05-10T15:09:58.931132+00:00,3097,0,0.0,62.55,74.08,88.7,64.11,0.5735
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,25,50k,4.0,small,2026-05-10T16:55:02.164215+00:00,2886,0,0.0,62.09,73.51,86.7,63.65,0.5344
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,26,50k,4.0,medium,2026-05-10T18:41:24.311454+00:00,3557,0,0.0,62.62,73.33,84.99,63.74,0.6587
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,27,50k,4.0,large,2026-05-10T20:26:28.033347+00:00,2637,0,0.0,62.39,73.72,87.34,64.55,0.4883
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,28,100k,0.5,small,2026-05-10T22:11:29.164892+00:00,6196,0,0.0,62.04,71.31,82.06,62.92,1.1474
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,29,100k,0.5,medium,2026-05-10T23:56:29.341414+00:00,6222,0,0.0,61.44,70.73,81.29,62.64,1.1522
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,30,100k,0.5,large,2026-05-11T01:41:29.426194+00:00,6187,0,0.0,62.0,70.99,82.08,62.9,1.1457
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,31,100k,2.0,small,2026-05-11T03:26:29.516133+00:00,6316,0,0.0,60.62,70.0,80.2,61.51,1.1696
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,32,100k,2.0,medium,2026-05-11T05:11:29.620198+00:00,6263,0,0.0,60.82,70.44,80.96,61.81,1.1598
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,33,100k,2.0,large,2026-05-11T06:56:32.270233+00:00,6061,0,0.0,60.04,69.49,80.34,60.96,1.1224
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,34,100k,4.0,small,2026-05-11T08:41:32.298342+00:00,5983,0,0.0,60.66,71.1,84.3,61.78,1.108
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,35,100k,4.0,medium,2026-05-11T10:26:32.448708+00:00,5431,0,0.0,61.59,71.12,86.16,62.71,1.0057
svc-event-driven-api-2gb-slim-serverless,event-driven-api,lambda,2048,slim,36,100k,4.0,large,2026-05-11T14:01:52.830678+00:00,6629,0,0.0,63.8,76.96,89.9,65.27,1.2276
