deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,1,1k,0.5,small,2026-05-08T21:52:29.434247+00:00,60,0,0.0,97.75,110.24,517.29,113.72,0.0111
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,2,1k,0.5,medium,2026-05-08T23:38:39.811017+00:00,62,0,0.0,95.86,110.1,518.74,111.61,0.0115
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,3,1k,0.5,large,2026-05-09T01:25:08.469708+00:00,59,0,0.0,98.89,113.27,508.24,114.3,0.0109
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,4,1k,2.0,small,2026-05-09T03:11:52.532653+00:00,50,0,0.0,83.63,1119.46,1227.27,305.64,0.0093
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,5,1k,2.0,medium,2026-05-09T04:57:01.443107+00:00,69,0,0.0,80.25,1050.12,1230.6,186.92,0.0128
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,6,1k,2.0,large,2026-05-09T06:45:40.781222+00:00,91,0,0.0,78.49,1018.47,1124.41,146.36,0.0169
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,7,1k,4.0,small,2026-05-09T08:32:23.323985+00:00,57,0,0.0,76.37,1068.21,1346.34,158.0,0.0106
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,8,1k,4.0,medium,2026-05-09T10:17:29.836747+00:00,90,0,0.0,75.18,1094.72,1185.91,190.76,0.0167
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,9,1k,4.0,large,2026-05-09T12:02:56.421369+00:00,45,0,0.0,76.55,1031.42,1081.86,165.12,0.0083
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,10,10k,0.5,small,2026-05-09T14:24:48.741190+00:00,634,0,0.0,68.5,85.28,94.65,71.61,0.1174
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,11,10k,0.5,medium,2026-05-09T16:09:55.205379+00:00,632,0,0.0,68.19,85.05,94.86,71.66,0.117
