deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,1,1k,0.5,small,2026-05-08T21:52:35.938637+00:00,59,0,0.0,55.69,70.29,90.95,57.4,0.0109
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,2,1k,0.5,medium,2026-05-08T23:37:43.637753+00:00,59,0,0.0,70.65,86.72,93.69,71.87,0.0109
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,3,1k,0.5,large,2026-05-09T01:23:21.594147+00:00,66,0,0.0,139.09,194.5,310.72,148.54,0.0122
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,4,1k,2.0,small,2026-05-09T03:08:22.368525+00:00,58,0,0.0,36.75,78.02,126.99,47.47,0.0107
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,5,1k,2.0,medium,2026-05-09T04:58:19.523554+00:00,57,0,0.0,52.66,79.96,184.72,61.08,0.0106
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,6,1k,2.0,large,2026-05-09T06:48:01.233469+00:00,58,0,0.0,129.17,185.74,409.15,145.13,0.0107
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,7,1k,4.0,small,2026-05-09T08:33:46.418753+00:00,26,0,0.0,34.81,55.56,56.82,36.89,0.0048
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,8,1k,4.0,medium,2026-05-09T11:06:48.179168+00:00,89,0,0.0,43.15,74.64,98.84,49.24,0.0165
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,9,1k,4.0,large,2026-05-09T13:08:00.575922+00:00,87,0,0.0,118.09,170.49,194.6,128.93,0.0161
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,10,10k,0.5,small,2026-05-09T14:57:27.112827+00:00,617,0,0.0,35.37,51.97,66.06,36.66,0.1143
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,11,10k,0.5,medium,2026-05-09T16:42:37.040782+00:00,623,0,0.0,44.06,70.41,87.2,46.16,0.1154
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,12,10k,0.5,large,2026-05-09T18:27:49.535709+00:00,640,0,0.0,105.47,152.56,238.14,115.6,0.1185
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,13,10k,2.0,small,2026-05-09T20:12:53.707837+00:00,625,0,0.0,35.53,54.55,61.42,37.31,0.1157
