deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,1,1k,0.5,small,2026-05-08T21:52:36.438974+00:00,73,0,0.0,52.17,58.35,59.22,51.59,0.0135
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,2,1k,0.5,medium,2026-05-08T23:37:51.666794+00:00,67,0,0.0,67.32,77.28,91.92,67.11,0.0124
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,3,1k,0.5,large,2026-05-09T01:23:50.286431+00:00,56,0,0.0,145.09,188.86,206.76,149.46,0.0104
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,4,1k,2.0,small,2026-05-09T03:09:50.539794+00:00,92,0,0.0,36.39,56.74,59.75,41.54,0.017
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,5,1k,2.0,medium,2026-05-09T04:55:01.714591+00:00,48,0,0.0,48.96,75.05,78.69,53.75,0.0089
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,6,1k,2.0,large,2026-05-09T06:40:52.204952+00:00,76,0,0.0,132.32,183.45,197.67,134.24,0.0141
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,7,1k,4.0,small,2026-05-09T08:25:54.620842+00:00,57,0,0.0,34.47,54.04,55.82,37.49,0.0106
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,8,1k,4.0,medium,2026-05-09T10:25:59.058524+00:00,8,0,0.0,45.62,69.03,69.35,50.85,0.0015
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,9,1k,4.0,large,2026-05-09T12:25:39.335566+00:00,60,0,0.0,139.67,178.5,191.78,145.19,0.0111
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,10,10k,0.5,small,2026-05-09T14:22:59.821222+00:00,602,0,0.0,34.2,46.07,55.37,35.16,0.1115
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,11,10k,0.5,medium,2026-05-09T16:08:04.760231+00:00,625,0,0.0,42.63,60.48,73.64,43.88,0.1157
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,12,10k,0.5,large,2026-05-09T17:53:10.550836+00:00,648,0,0.0,120.24,158.42,192.43,123.23,0.12
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,13,10k,2.0,small,2026-05-09T19:38:17.787978+00:00,631,0,0.0,33.92,52.52,58.56,35.88,0.1169
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,14,10k,2.0,medium,2026-05-09T21:23:53.058287+00:00,644,0,0.0,42.79,65.06,79.92,44.66,0.1193
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,15,10k,2.0,large,2026-05-09T23:08:59.317615+00:00,574,0,0.0,124.62,175.44,185.67,129.68,0.1063
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,16,10k,4.0,small,2026-05-10T00:53:59.344344+00:00,679,0,0.0,33.89,51.83,56.74,35.31,0.1257
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,17,10k,4.0,medium,2026-05-10T02:39:29.872183+00:00,712,0,0.0,42.24,64.56,70.55,43.75,0.1319
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,18,10k,4.0,large,2026-05-10T04:24:55.608954+00:00,626,0,0.0,127.07,179.9,231.74,141.08,0.1159
