deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,1,1k,0.5,small,2026-05-08T21:52:32.936617+00:00,63,0,0.0,144.7,167.49,2342.51,235.97,0.0117
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:18.214525+00:00,60,0,0.0,142.03,175.93,5707.06,328.93,0.0111
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,3,1k,0.5,large,2026-05-09T01:23:27.682255+00:00,61,0,0.0,145.14,163.4,5180.56,309.75,0.0113
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,4,1k,2.0,small,2026-05-09T03:10:19.688930+00:00,42,0,0.0,127.18,5271.9,5373.63,1095.32,0.0078
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,5,1k,2.0,medium,2026-05-09T04:55:38.757942+00:00,67,0,0.0,125.11,5073.28,5249.88,644.92,0.0124
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,6,1k,2.0,large,2026-05-09T06:43:07.466797+00:00,97,0,0.0,129.77,173.62,5380.43,344.54,0.018
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,7,1k,4.0,small,2026-05-09T08:33:01.229824+00:00,21,0,0.0,126.91,5255.86,5611.34,1575.62,0.0039
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,8,1k,4.0,medium,2026-05-09T10:34:20.443971+00:00,94,0,0.0,121.28,4815.7,5518.68,446.34,0.0174
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,9,1k,4.0,large,2026-05-09T13:19:07.540905+00:00,29,0,0.0,128.5,5265.29,5475.88,1158.98,0.0054
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,10,10k,0.5,small,2026-05-09T15:05:14.103137+00:00,614,0,0.0,112.94,130.85,149.13,122.51,0.1137
