deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,1,1k,0.5,small,2026-05-08T21:52:41.442414+00:00,63,0,0.0,71.58,80.74,114.24,73.54,0.0117
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,2,1k,0.5,medium,2026-05-08T23:38:44.968213+00:00,67,0,0.0,541.99,557.52,578.06,543.46,0.0124
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,3,1k,0.5,large,2026-05-09T01:25:31.244009+00:00,62,0,0.0,1135.79,1239.2,1284.26,1144.03,0.0115
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,4,1k,2.0,small,2026-05-09T03:11:05.879034+00:00,94,0,0.0,58.49,79.58,85.43,63.56,0.0174
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,5,1k,2.0,medium,2026-05-09T04:56:13.179402+00:00,73,0,0.0,525.96,551.12,560.71,524.29,0.0135
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,6,1k,2.0,large,2026-05-09T06:42:18.826725+00:00,66,0,0.0,1084.4,1164.4,1275.74,1097.3,0.0122
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,7,1k,4.0,small,2026-05-09T08:29:51.562344+00:00,68,0,0.0,52.95,73.5,77.61,56.83,0.0126
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,8,1k,4.0,medium,2026-05-09T10:18:35.556723+00:00,90,0,0.0,496.81,538.57,543.93,496.77,0.0167
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,9,1k,4.0,large,2026-05-09T12:04:17.746720+00:00,69,0,0.0,1149.53,1185.66,1220.31,1149.45,0.0128
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,10,10k,0.5,small,2026-05-09T14:26:17.881460+00:00,646,0,0.0,55.51,64.08,73.55,56.35,0.1196
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,11,10k,0.5,medium,2026-05-09T16:11:18.104321+00:00,630,0,0.0,510.79,543.52,562.52,505.0,0.1167
