deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,1,1k,0.5,small,2026-05-08T21:52:33.436959+00:00,65,0,0.0,143.63,164.23,1907.31,216.87,0.012
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,2,1k,0.5,medium,2026-05-08T23:37:39.174182+00:00,67,0,0.0,143.57,159.8,1906.21,220.35,0.0124
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,3,1k,0.5,large,2026-05-09T01:23:47.362087+00:00,67,0,0.0,140.49,163.54,2086.83,224.18,0.0124
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,4,1k,2.0,small,2026-05-09T03:10:00.357897+00:00,58,0,0.0,128.76,5140.1,5382.6,654.35,0.0107
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,5,1k,2.0,medium,2026-05-09T04:57:03.056855+00:00,58,0,0.0,131.46,5221.31,5390.01,995.22,0.0107
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,6,1k,2.0,large,2026-05-09T06:51:21.120037+00:00,89,0,0.0,131.81,5058.15,5484.15,531.15,0.0165
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,7,1k,4.0,small,2026-05-09T08:38:41.659060+00:00,42,0,0.0,119.9,4955.62,5047.9,693.46,0.0078
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,8,1k,4.0,medium,2026-05-09T11:00:23.505215+00:00,79,0,0.0,120.96,5010.03,5191.79,499.12,0.0146
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,9,1k,4.0,large,2026-05-09T13:31:38.295993+00:00,110,0,0.0,117.93,150.27,5414.2,369.06,0.0204
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,10,10k,0.5,small,2026-05-09T15:42:49.985693+00:00,632,0,0.0,111.97,127.69,134.0,128.48,0.117
