deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,1,1k,0.5,small,2026-05-08T21:52:31.935979+00:00,58,0,0.0,364.69,416.39,3137.01,475.21,0.0107
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,2,1k,0.5,medium,2026-05-08T23:37:36.898051+00:00,59,0,0.0,357.04,435.73,3075.12,463.44,0.0109
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,3,1k,0.5,large,2026-05-09T01:24:00.008075+00:00,65,0,0.0,346.17,381.78,2564.34,440.27,0.012
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,4,1k,2.0,small,2026-05-09T03:09:06.913831+00:00,66,0,0.0,334.79,6454.89,6797.28,897.41,0.0122
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,5,1k,2.0,medium,2026-05-09T04:55:55.528471+00:00,68,0,0.0,335.43,6406.45,6814.51,1141.75,0.0126
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,6,1k,2.0,large,2026-05-09T06:45:19.019402+00:00,71,0,0.0,337.15,6612.02,6769.24,1291.7,0.0131
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,7,1k,4.0,small,2026-05-09T08:47:19.348191+00:00,45,0,0.0,325.57,6401.14,6506.0,1276.3,0.0083
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,8,1k,4.0,medium,2026-05-09T10:35:59.966202+00:00,14,0,0.0,318.59,6749.78,6899.99,1255.93,0.0026
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,9,1k,4.0,large,2026-05-09T12:27:00.646476+00:00,148,0,0.0,320.24,409.15,6672.19,577.56,0.0274
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,10,10k,0.5,small,2026-05-09T14:13:38.864887+00:00,609,0,0.0,310.76,346.29,371.78,331.14,0.1128
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,11,10k,0.5,medium,2026-05-09T15:58:45.557010+00:00,617,0,0.0,316.09,355.83,392.86,328.02,0.1143
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,12,10k,0.5,large,2026-05-09T17:43:53.736358+00:00,623,0,0.0,321.82,357.1,371.29,333.18,0.1154
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,13,10k,2.0,small,2026-05-09T19:28:57.308113+00:00,585,0,0.0,325.4,372.24,401.25,340.84,0.1083
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,14,10k,2.0,medium,2026-05-09T21:14:16.588796+00:00,635,0,0.0,316.27,356.69,377.89,328.15,0.1176
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,15,10k,2.0,large,2026-05-09T22:59:40.652041+00:00,577,0,0.0,303.9,347.93,374.91,323.74,0.1069
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,16,10k,4.0,small,2026-05-10T00:44:42.674590+00:00,595,0,0.0,318.86,361.39,396.26,354.38,0.1102
svc-ml-inference-512mb-slim-serverless,ml-inference,lambda,512,slim,17,10k,4.0,medium,2026-05-10T02:30:08.144113+00:00,592,0,0.0,318.48,362.64,435.96,346.2,0.1096
