deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,1,1k,0.5,small,2026-05-08T21:52:40.441701+00:00,66,0,0.0,79.27,115.26,207.2,84.63,0.0122
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,2,1k,0.5,medium,2026-05-08T23:38:29.457002+00:00,62,0,0.0,1016.31,1068.71,1297.59,1028.69,0.0115
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,3,1k,0.5,large,2026-05-09T01:24:13.781356+00:00,68,0,0.0,2104.34,2482.93,2929.53,2156.02,0.0126
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,4,1k,2.0,small,2026-05-09T03:09:31.254160+00:00,72,0,0.0,63.85,87.06,98.74,69.51,0.0133
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,5,1k,2.0,medium,2026-05-09T04:57:37.111926+00:00,66,0,0.0,1001.99,1050.06,1341.4,1016.6,0.0122
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,6,1k,2.0,large,2026-05-09T06:52:53.859213+00:00,82,0,0.0,2089.17,2360.62,2636.47,2122.71,0.0152
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,7,1k,4.0,small,2026-05-09T08:44:46.399182+00:00,83,0,0.0,63.13,111.06,198.7,73.05,0.0154
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,8,1k,4.0,medium,2026-05-09T11:22:07.504731+00:00,86,0,0.0,998.3,1065.64,1468.36,1016.01,0.0159
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,9,1k,4.0,large,2026-05-09T13:09:59.636720+00:00,59,0,0.0,2099.21,2477.15,2998.25,2148.55,0.0109
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,10,10k,0.5,small,2026-05-09T15:00:14.123812+00:00,620,0,0.0,60.5,82.55,189.01,65.36,0.1148
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,11,10k,0.5,medium,2026-05-09T16:45:23.785031+00:00,626,0,0.0,994.09,1101.92,1613.86,1017.11,0.1159
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,12,10k,0.5,large,2026-05-09T18:30:38.438480+00:00,648,0,0.0,2079.44,2351.16,2821.32,2120.39,0.12
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,13,10k,2.0,small,2026-05-09T20:15:40.832513+00:00,589,0,0.0,60.86,90.48,238.02,68.83,0.1091
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,14,10k,2.0,medium,2026-05-09T22:00:46.629458+00:00,700,0,0.0,998.95,1072.23,1571.32,1016.52,0.1296
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,15,10k,2.0,large,2026-05-09T23:45:46.997636+00:00,537,0,0.0,2098.74,2330.8,2993.13,2136.59,0.0994
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,16,10k,4.0,small,2026-05-10T01:31:15.156666+00:00,567,0,0.0,61.62,86.67,110.09,67.36,0.105
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,17,10k,4.0,medium,2026-05-10T03:18:05.484815+00:00,566,0,0.0,1000.43,1085.39,1580.31,1018.96,0.1048
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,18,10k,4.0,large,2026-05-10T05:06:29.587471+00:00,583,0,0.0,2094.42,2398.03,2862.13,2128.81,0.108
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,19,50k,0.5,small,2026-05-10T06:51:31.083588+00:00,3152,0,0.0,60.15,82.75,208.75,65.34,0.5837
svc-ml-inference-512mb-standard-container,ml-inference,fargate,512,standard,20,50k,0.5,medium,2026-05-10T08:36:32.335155+00:00,3124,0,0.0,994.66,1065.78,1648.62,1013.65,0.5785
