deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,1,1k,0.5,small,2026-05-08T21:52:32.436299+00:00,61,0,0.0,353.57,398.48,2686.79,450.05,0.0113
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,2,1k,0.5,medium,2026-05-08T23:39:00.489686+00:00,60,0,0.0,351.63,414.72,3142.04,469.24,0.0111
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,3,1k,0.5,large,2026-05-09T01:25:05.234436+00:00,62,0,0.0,347.52,387.13,2858.63,451.57,0.0115
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,4,1k,2.0,small,2026-05-09T03:10:23.082591+00:00,49,0,0.0,336.07,6748.97,7109.15,1241.76,0.0091
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,5,1k,2.0,medium,2026-05-09T05:13:55.805018+00:00,88,0,0.0,334.79,408.63,6389.69,607.48,0.0163
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,6,1k,2.0,large,2026-05-09T07:05:14.826646+00:00,71,0,0.0,331.15,394.75,6813.5,599.57,0.0131
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,7,1k,4.0,small,2026-05-09T08:50:42.137790+00:00,98,0,0.0,320.8,6337.98,6651.15,948.96,0.0181
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,8,1k,4.0,medium,2026-05-09T10:36:30.259527+00:00,65,0,0.0,317.61,6343.98,6457.25,779.88,0.012
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,9,1k,4.0,large,2026-05-09T12:23:43.485205+00:00,67,0,0.0,318.95,6429.42,6674.35,782.07,0.0124
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,10,10k,0.5,small,2026-05-09T14:19:18.577523+00:00,619,0,0.0,319.0,352.76,373.62,329.82,0.1146
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,11,10k,0.5,medium,2026-05-09T16:04:28.410906+00:00,620,0,0.0,315.61,347.56,377.44,325.34,0.1148
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,12,10k,0.5,large,2026-05-09T17:49:37.815531+00:00,619,0,0.0,309.72,336.26,366.07,320.17,0.1146
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,13,10k,2.0,small,2026-05-09T19:34:38.052996+00:00,620,0,0.0,320.04,353.13,374.02,333.4,0.1148
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,14,10k,2.0,medium,2026-05-09T21:19:45.689298+00:00,652,0,0.0,308.0,342.33,371.04,322.04,0.1207
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,15,10k,2.0,large,2026-05-09T23:05:01.561323+00:00,582,0,0.0,306.06,346.29,376.27,323.38,0.1078
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,16,10k,4.0,small,2026-05-10T00:50:32.042675+00:00,642,0,0.0,315.67,361.01,449.96,334.51,0.1189
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,17,10k,4.0,medium,2026-05-10T02:37:29.553539+00:00,354,0,0.0,316.93,363.06,3530.46,387.09,0.0656
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,18,10k,4.0,large,2026-05-10T04:26:00.079052+00:00,666,0,0.0,318.23,358.33,382.8,334.82,0.1233
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,19,50k,0.5,small,2026-05-10T06:11:14.306783+00:00,3161,0,0.0,312.77,342.0,359.69,314.03,0.5854
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,20,50k,0.5,medium,2026-05-10T07:56:14.914619+00:00,3118,0,0.0,309.07,336.38,352.54,311.55,0.5774
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,21,50k,0.5,large,2026-05-10T09:41:15.085983+00:00,3083,0,0.0,310.64,344.05,368.15,313.04,0.5709
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,22,50k,2.0,small,2026-05-10T11:26:15.252155+00:00,3091,0,0.0,301.23,328.73,344.46,307.28,0.5724
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,23,50k,2.0,medium,2026-05-10T13:11:15.309634+00:00,3126,0,0.0,302.13,338.51,358.25,309.13,0.5789
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,24,50k,2.0,large,2026-05-10T14:56:15.708030+00:00,3104,0,0.0,317.93,349.42,379.62,321.09,0.5748
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,25,50k,4.0,small,2026-05-10T16:41:22.096388+00:00,2893,0,0.0,318.25,344.35,365.56,317.4,0.5357
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,26,50k,4.0,medium,2026-05-10T18:27:08.085157+00:00,2859,0,0.0,319.83,359.83,381.33,324.56,0.5294
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,27,50k,4.0,large,2026-05-10T20:12:17.574149+00:00,2491,0,0.0,318.73,342.36,369.31,319.67,0.4613
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,28,100k,0.5,small,2026-05-10T21:57:24.394526+00:00,6246,0,0.0,307.83,339.12,357.08,308.77,1.1567
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,29,100k,0.5,medium,2026-05-10T23:42:24.922278+00:00,6237,0,0.0,312.11,345.1,366.12,314.27,1.155
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,30,100k,0.5,large,2026-05-11T01:27:25.094463+00:00,6257,0,0.0,310.02,342.67,364.81,312.15,1.1587
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,31,100k,2.0,small,2026-05-11T03:12:25.132047+00:00,6108,0,0.0,302.67,340.48,372.03,309.38,1.1311
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,32,100k,2.0,medium,2026-05-11T04:57:30.806692+00:00,6247,0,0.0,299.8,321.82,340.26,300.12,1.1569
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,33,100k,2.0,large,2026-05-11T06:42:31.038436+00:00,6332,0,0.0,300.24,335.37,358.12,303.47,1.1726
