deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,1,1k,0.5,small,2026-05-08T21:52:38.940680+00:00,65,0,0.0,52.43,65.82,70.43,52.07,0.012
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:08.971227+00:00,59,0,0.0,128.5,143.89,156.4,129.81,0.0109
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,3,1k,0.5,large,2026-05-09T01:23:28.329302+00:00,61,0,0.0,998.78,1015.42,1037.36,996.66,0.0113
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,4,1k,2.0,small,2026-05-09T03:10:03.287985+00:00,63,0,0.0,40.76,65.66,82.9,44.55,0.0117
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,5,1k,2.0,medium,2026-05-09T04:55:12.850621+00:00,82,0,0.0,109.86,144.54,164.78,115.97,0.0152
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,6,1k,2.0,large,2026-05-09T06:48:26.001894+00:00,63,0,0.0,992.82,1018.32,1032.78,993.71,0.0117
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,7,1k,4.0,small,2026-05-09T08:33:39.183195+00:00,77,0,0.0,35.16,56.91,70.24,39.3,0.0143
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,8,1k,4.0,medium,2026-05-09T10:18:59.862860+00:00,117,0,0.0,109.54,122.56,136.47,111.81,0.0217
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,9,1k,4.0,large,2026-05-09T12:15:14.822590+00:00,37,0,0.0,992.66,1029.68,1035.95,992.01,0.0069
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,10,10k,0.5,small,2026-05-09T14:13:52.064751+00:00,608,0,0.0,36.34,45.67,56.58,36.9,0.1126
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,11,10k,0.5,medium,2026-05-09T15:58:56.963905+00:00,617,0,0.0,111.0,118.12,126.89,111.63,0.1143
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,12,10k,0.5,large,2026-05-09T17:44:02.107614+00:00,629,0,0.0,976.47,1001.92,1020.55,976.0,0.1165
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,13,10k,2.0,small,2026-05-09T19:29:11.118795+00:00,634,0,0.0,35.64,51.47,57.95,36.75,0.1174
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,14,10k,2.0,medium,2026-05-09T21:14:11.269135+00:00,657,0,0.0,105.57,117.5,125.08,107.18,0.1217
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,15,10k,2.0,large,2026-05-09T22:59:11.369955+00:00,596,0,0.0,984.61,1009.43,1022.94,984.84,0.1104
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,16,10k,4.0,small,2026-05-10T00:44:31.870218+00:00,617,0,0.0,34.89,51.53,58.05,36.22,0.1143
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,17,10k,4.0,medium,2026-05-10T02:29:36.732724+00:00,683,0,0.0,106.27,117.64,128.03,107.39,0.1265
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,18,10k,4.0,large,2026-05-10T04:29:32.419436+00:00,718,0,0.0,982.65,1007.94,1018.33,982.53,0.133
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,19,50k,0.5,small,2026-05-10T06:14:37.113822+00:00,3155,0,0.0,35.14,42.43,53.04,35.4,0.5843
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,20,50k,0.5,medium,2026-05-10T07:59:37.288014+00:00,3094,0,0.0,105.27,109.0,121.8,105.9,0.573
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,21,50k,0.5,large,2026-05-10T09:44:37.295323+00:00,3142,0,0.0,974.94,1002.95,1020.66,975.77,0.5819
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,22,50k,2.0,small,2026-05-10T11:29:38.236509+00:00,3243,0,0.0,34.89,42.58,50.57,35.19,0.6006
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,23,50k,2.0,medium,2026-05-10T13:14:38.271562+00:00,3211,0,0.0,99.11,104.05,114.46,99.69,0.5946
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,24,50k,2.0,large,2026-05-10T14:59:38.619208+00:00,3174,0,0.0,974.66,1002.66,1022.37,976.53,0.5878
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,25,50k,4.0,small,2026-05-10T16:44:39.309692+00:00,3193,0,0.0,34.41,42.48,53.72,34.9,0.5913
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,26,50k,4.0,medium,2026-05-10T18:29:44.117395+00:00,3174,0,0.0,98.8,103.94,112.86,99.22,0.5878
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,27,50k,4.0,large,2026-05-10T20:14:45.797030+00:00,2885,0,0.0,980.98,1005.15,1021.81,980.56,0.5343
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,28,100k,0.5,small,2026-05-10T21:59:52.575135+00:00,6255,0,0.0,35.5,42.86,52.41,35.82,1.1583
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,29,100k,0.5,medium,2026-05-10T23:44:52.901190+00:00,6229,0,0.0,105.77,109.74,121.19,106.42,1.1535
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,30,100k,0.5,large,2026-05-11T01:29:53.992612+00:00,5506,0,0.0,981.67,1003.58,1018.08,980.82,1.0196
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,31,100k,2.0,small,2026-05-11T03:14:54.423242+00:00,6247,0,0.0,34.84,42.47,52.93,35.3,1.1569
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,32,100k,2.0,medium,2026-05-11T14:02:02.837340+00:00,6264,0,0.0,114.97,119.56,132.93,115.66,1.16
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,33,100k,2.0,large,2026-05-11T15:47:07.340135+00:00,5541,0,0.0,973.97,1001.25,1023.33,974.64,1.0261
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,34,100k,4.0,small,2026-05-11T17:32:07.858918+00:00,6392,0,0.0,34.32,42.14,54.6,34.76,1.1837
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,35,100k,4.0,medium,2026-05-11T19:17:10.609651+00:00,6091,0,0.0,98.76,103.4,119.52,99.39,1.128
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,36,100k,4.0,large,2026-05-11T21:02:21.905601+00:00,5418,0,0.0,975.56,1000.52,1023.57,975.52,1.0033
