deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,1,1k,0.5,small,2026-05-08T21:52:39.441010+00:00,56,0,0.0,59.55,67.87,79.2,60.27,0.0104
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,2,1k,0.5,medium,2026-05-08T23:37:39.701591+00:00,66,0,0.0,164.32,195.26,219.88,168.29,0.0122
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,3,1k,0.5,large,2026-05-09T01:23:24.775258+00:00,62,0,0.0,1342.03,1380.93,1481.07,1348.87,0.0115
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,4,1k,2.0,small,2026-05-09T03:08:46.021149+00:00,49,0,0.0,42.86,63.83,66.34,48.12,0.0091
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,5,1k,2.0,medium,2026-05-09T04:56:07.117301+00:00,58,0,0.0,156.06,181.79,206.57,164.58,0.0107
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,6,1k,2.0,large,2026-05-09T06:42:04.828568+00:00,57,0,0.0,1336.04,1357.59,1376.37,1336.35,0.0106
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,7,1k,4.0,small,2026-05-09T08:27:24.613122+00:00,52,0,0.0,38.98,64.38,73.55,42.04,0.0096
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,8,1k,4.0,medium,2026-05-09T10:15:57.208614+00:00,57,0,0.0,155.68,177.77,206.26,159.53,0.0106
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,9,1k,4.0,large,2026-05-09T12:19:38.823210+00:00,97,0,0.0,1333.04,1379.45,1457.96,1339.6,0.018
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,10,10k,0.5,small,2026-05-09T14:17:14.920071+00:00,619,0,0.0,39.33,49.32,60.92,40.08,0.1146
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,11,10k,0.5,medium,2026-05-09T16:02:23.882296+00:00,621,0,0.0,154.91,168.8,177.06,156.18,0.115
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,12,10k,0.5,large,2026-05-09T17:47:31.655007+00:00,624,0,0.0,1315.29,1347.09,1425.87,1317.07,0.1156
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,13,10k,2.0,small,2026-05-09T19:32:48.654416+00:00,597,0,0.0,39.42,59.97,68.12,41.26,0.1106
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,14,10k,2.0,medium,2026-05-09T21:18:08.290865+00:00,611,0,0.0,149.07,166.95,178.61,151.42,0.1131
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,15,10k,2.0,large,2026-05-09T23:03:21.417636+00:00,535,0,0.0,1332.78,1358.02,1447.21,1333.93,0.0991
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,16,10k,4.0,small,2026-05-10T00:49:51.309501+00:00,527,0,0.0,39.07,59.62,66.01,40.8,0.0976
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,17,10k,4.0,medium,2026-05-10T02:35:53.384657+00:00,632,0,0.0,155.56,174.0,187.79,157.82,0.117
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,18,10k,4.0,large,2026-05-10T04:20:58.946424+00:00,791,0,0.0,1328.7,1351.03,1422.8,1331.79,0.1465
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,19,50k,0.5,small,2026-05-10T06:06:35.996879+00:00,3134,0,0.0,38.49,45.83,59.32,38.88,0.5804
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,20,50k,0.5,medium,2026-05-10T07:51:38.184861+00:00,3112,0,0.0,155.69,160.99,176.81,156.62,0.5763
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,21,50k,0.5,large,2026-05-10T09:36:41.317948+00:00,3105,0,0.0,1301.23,1337.36,1421.91,1309.43,0.575
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,22,50k,2.0,small,2026-05-10T11:21:41.670799+00:00,3172,0,0.0,38.68,46.32,58.87,39.1,0.5874
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,23,50k,2.0,medium,2026-05-10T13:06:42.296169+00:00,2988,0,0.0,137.89,142.04,155.07,138.72,0.5533
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,24,50k,2.0,large,2026-05-10T14:51:54.313189+00:00,3097,0,0.0,1307.74,1328.66,1402.53,1310.55,0.5735
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,25,50k,4.0,small,2026-05-10T16:36:54.835180+00:00,3061,0,0.0,38.13,46.2,59.73,38.71,0.5669
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,26,50k,4.0,medium,2026-05-10T18:21:58.589474+00:00,2678,0,0.0,136.78,143.57,161.35,138.05,0.4959
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,27,50k,4.0,large,2026-05-10T20:07:03.217155+00:00,3315,0,0.0,1300.75,1323.28,1385.78,1304.18,0.6139
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,28,100k,0.5,small,2026-05-10T21:52:26.155313+00:00,6237,0,0.0,39.06,46.27,59.25,39.39,1.155
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,29,100k,0.5,medium,2026-05-10T23:37:27.143742+00:00,6206,0,0.0,137.53,141.76,158.12,138.39,1.1493
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,30,100k,0.5,large,2026-05-11T01:22:27.228032+00:00,4136,0,0.0,1302.46,1323.17,1401.43,1305.64,0.7659
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,31,100k,2.0,small,2026-05-11T03:07:27.401855+00:00,6164,0,0.0,38.39,46.07,58.92,38.83,1.1415
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,32,100k,2.0,medium,2026-05-11T14:02:03.337677+00:00,5968,0,0.0,109.91,114.64,130.46,110.7,1.1052
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,33,100k,2.0,large,2026-05-11T15:47:05.098858+00:00,5663,0,0.0,949.56,975.35,998.15,952.97,1.0487
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,34,100k,4.0,small,2026-05-11T17:32:05.864258+00:00,6178,0,0.0,34.19,41.6,52.36,34.5,1.1441
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,35,100k,4.0,medium,2026-05-11T19:17:13.252521+00:00,6114,0,0.0,96.13,100.46,114.17,96.81,1.1322
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,36,100k,4.0,large,2026-05-11T21:02:14.531422+00:00,5645,0,0.0,944.86,973.07,991.2,949.79,1.0454
