deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,1,1k,0.5,small,2026-05-08T21:52:31.435635+00:00,64,0,0.0,109.11,133.16,930.44,143.56,0.0119
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,2,1k,0.5,medium,2026-05-08T23:38:16.746254+00:00,61,0,0.0,110.86,123.44,787.51,138.04,0.0113
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,3,1k,0.5,large,2026-05-09T01:23:29.400078+00:00,65,0,0.0,108.4,125.15,889.18,139.73,0.012
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,4,1k,2.0,small,2026-05-09T03:08:54.079160+00:00,54,0,0.0,100.05,1964.85,2256.47,370.92,0.01
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,5,1k,2.0,medium,2026-05-09T04:57:19.251980+00:00,59,0,0.0,90.12,1721.64,1886.79,291.34,0.0109
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,6,1k,2.0,large,2026-05-09T06:46:17.242759+00:00,36,0,0.0,113.97,1818.43,1909.67,522.99,0.0067
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,7,1k,4.0,small,2026-05-09T08:31:51.845768+00:00,117,0,0.0,80.34,120.32,1863.99,141.61,0.0217
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,8,1k,4.0,medium,2026-05-09T10:25:55.210907+00:00,35,0,0.0,92.82,1840.11,1952.16,441.71,0.0065
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,9,1k,4.0,large,2026-05-09T12:13:25.021688+00:00,15,0,0.0,90.15,2076.87,2621.7,491.54,0.0028
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,10,10k,0.5,small,2026-05-09T14:05:20.134665+00:00,614,0,0.0,76.24,93.79,107.74,80.41,0.1137
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,11,10k,0.5,medium,2026-05-09T15:50:32.861258+00:00,626,0,0.0,75.3,90.94,106.21,79.41,0.1159
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,12,10k,0.5,large,2026-05-09T17:35:36.697037+00:00,634,0,0.0,75.27,90.5,103.87,79.23,0.1174
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,13,10k,2.0,small,2026-05-09T19:20:38.502591+00:00,584,0,0.0,76.5,103.28,116.39,82.38,0.1081
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,14,10k,2.0,medium,2026-05-09T21:07:02.467080+00:00,586,0,0.0,76.38,100.06,113.39,81.55,0.1085
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,15,10k,2.0,large,2026-05-09T22:52:41.640350+00:00,590,0,0.0,75.43,101.33,113.45,80.1,0.1093
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,16,10k,4.0,small,2026-05-10T00:37:55.843121+00:00,572,0,0.0,74.86,99.99,110.74,80.25,0.1059
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,17,10k,4.0,medium,2026-05-10T02:23:19.301319+00:00,892,0,0.0,74.12,96.88,116.12,80.04,0.1652
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,18,10k,4.0,large,2026-05-10T04:10:31.810354+00:00,704,0,0.0,74.11,99.75,119.19,78.74,0.1304
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,19,50k,0.5,small,2026-05-10T06:00:26.771636+00:00,3120,0,0.0,69.99,82.44,98.27,71.55,0.5778
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,20,50k,0.5,medium,2026-05-10T07:45:28.026767+00:00,3133,0,0.0,68.92,80.76,95.3,70.17,0.5802
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,21,50k,0.5,large,2026-05-10T09:30:29.657570+00:00,3139,0,0.0,69.59,81.02,94.37,70.89,0.5813
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,22,50k,2.0,small,2026-05-10T11:15:30.703552+00:00,2991,0,0.0,70.26,83.8,97.28,71.86,0.5539
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,23,50k,2.0,medium,2026-05-10T13:00:31.790971+00:00,3139,0,0.0,70.67,81.93,97.04,71.95,0.5813
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,24,50k,2.0,large,2026-05-10T14:45:36.839416+00:00,3198,0,0.0,71.15,84.73,98.47,72.47,0.5922
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,25,50k,4.0,small,2026-05-10T16:30:51.555436+00:00,2872,0,0.0,70.71,83.75,102.35,72.4,0.5319
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,26,50k,4.0,medium,2026-05-10T18:16:05.118883+00:00,2898,0,0.0,70.16,82.54,98.36,71.58,0.5367
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,27,50k,4.0,large,2026-05-10T20:01:17.506814+00:00,3037,0,0.0,70.64,83.27,98.96,72.05,0.5624
