deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,1,1k,0.5,small,2026-05-08T21:52:37.940031+00:00,65,0,0.0,64.76,82.56,88.84,65.04,0.012
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,2,1k,0.5,medium,2026-05-08T23:38:00.473300+00:00,63,0,0.0,263.63,312.55,534.07,277.13,0.0117
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,3,1k,0.5,large,2026-05-09T01:23:20.100456+00:00,59,0,0.0,2334.18,2434.68,3087.77,2358.53,0.0109
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,4,1k,2.0,small,2026-05-09T03:08:45.500206+00:00,44,0,0.0,45.3,70.6,75.36,52.05,0.0081
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,5,1k,2.0,medium,2026-05-09T04:53:56.836616+00:00,74,0,0.0,251.08,293.5,401.47,252.19,0.0137
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,6,1k,2.0,large,2026-05-09T06:44:34.319510+00:00,68,0,0.0,2329.32,2582.47,2888.3,2358.34,0.0126
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,7,1k,4.0,small,2026-05-09T08:30:49.359949+00:00,54,0,0.0,41.03,71.19,85.09,46.13,0.01
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,8,1k,4.0,medium,2026-05-09T10:30:08.909706+00:00,82,0,0.0,224.0,279.28,290.16,234.53,0.0152
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,9,1k,4.0,large,2026-05-09T12:23:00.191104+00:00,94,0,0.0,2322.7,2438.29,2812.26,2346.54,0.0174
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,10,10k,0.5,small,2026-05-09T14:13:22.078784+00:00,606,0,0.0,41.66,64.13,86.03,43.76,0.1122
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,11,10k,0.5,medium,2026-05-09T15:58:22.624929+00:00,628,0,0.0,225.3,292.55,519.93,237.84,0.1163
