deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,1,1k,0.5,small,2026-05-08T21:52:38.440338+00:00,65,0,0.0,66.22,74.43,88.19,66.03,0.012
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,2,1k,0.5,medium,2026-05-08T23:39:04.995560+00:00,58,0,0.0,262.73,311.49,330.06,259.68,0.0107
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,3,1k,0.5,large,2026-05-09T01:25:47.376144+00:00,64,0,0.0,2291.92,2532.32,3432.14,2346.72,0.0119
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,4,1k,2.0,small,2026-05-09T03:10:52.468403+00:00,94,0,0.0,45.67,78.19,124.5,53.15,0.0174
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,5,1k,2.0,medium,2026-05-09T04:57:14.749722+00:00,83,0,0.0,250.25,301.45,496.64,257.24,0.0154
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,6,1k,2.0,large,2026-05-09T06:42:18.883893+00:00,65,0,0.0,2286.71,2336.7,2757.15,2298.83,0.012
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,7,1k,4.0,small,2026-05-09T08:27:33.484838+00:00,44,0,0.0,45.67,73.87,91.23,49.54,0.0081
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,8,1k,4.0,medium,2026-05-09T10:13:15.654611+00:00,116,0,0.0,253.93,288.41,348.17,254.05,0.0215
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,9,1k,4.0,large,2026-05-09T12:00:15.510072+00:00,34,0,0.0,2289.86,2619.22,2887.3,2330.24,0.0063
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,10,10k,0.5,small,2026-05-09T13:58:09.923845+00:00,633,0,0.0,42.3,58.94,74.24,43.66,0.1172
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,11,10k,0.5,medium,2026-05-09T15:43:22.664150+00:00,620,0,0.0,234.06,269.68,363.26,240.7,0.1148
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,12,10k,0.5,large,2026-05-09T17:28:25.515261+00:00,621,0,0.0,2222.53,2352.91,2750.31,2247.8,0.115
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,13,10k,2.0,small,2026-05-09T19:13:27.652206+00:00,545,0,0.0,42.04,70.73,98.67,46.02,0.1009
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,14,10k,2.0,medium,2026-05-09T20:58:47.676224+00:00,786,0,0.0,222.46,277.23,406.51,232.34,0.1456
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,15,10k,2.0,large,2026-05-09T22:44:03.008936+00:00,697,0,0.0,2212.17,2323.27,2687.32,2236.9,0.1291
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,16,10k,4.0,small,2026-05-10T00:29:12.601093+00:00,526,0,0.0,42.45,67.57,101.5,45.46,0.0974
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,17,10k,4.0,medium,2026-05-10T02:16:55.778172+00:00,602,0,0.0,223.69,276.68,293.01,235.93,0.1115
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,18,10k,4.0,large,2026-05-10T04:01:55.836367+00:00,666,0,0.0,2207.46,2308.55,2768.38,2233.21,0.1233
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,19,50k,0.5,small,2026-05-10T05:46:56.052215+00:00,3163,0,0.0,41.4,51.43,74.13,42.62,0.5857
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,20,50k,0.5,medium,2026-05-10T07:31:57.988784+00:00,3157,0,0.0,215.57,259.87,394.16,225.57,0.5846
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,21,50k,0.5,large,2026-05-10T09:17:00.978480+00:00,2418,0,0.0,2208.03,2314.28,2784.41,2234.17,0.4478
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,22,50k,2.0,small,2026-05-10T11:02:03.222909+00:00,3153,0,0.0,41.48,50.44,78.63,42.49,0.5839
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,23,50k,2.0,medium,2026-05-10T12:47:04.946177+00:00,3114,0,0.0,215.89,274.77,354.47,229.17,0.5767
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,24,50k,2.0,large,2026-05-10T14:32:07.122957+00:00,2400,0,0.0,2217.93,2344.82,2887.09,2248.26,0.4444
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,25,50k,4.0,small,2026-05-10T16:17:08.294458+00:00,3652,0,0.0,41.32,50.2,73.95,42.57,0.6763
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,26,50k,4.0,medium,2026-05-10T18:02:11.795836+00:00,3141,0,0.0,223.27,276.97,376.72,239.22,0.5817
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,27,50k,4.0,large,2026-05-10T19:47:11.800557+00:00,2358,0,0.0,2215.19,2323.63,2887.03,2245.01,0.4367
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,28,100k,0.5,small,2026-05-10T21:32:13.738359+00:00,6251,0,0.0,41.56,50.39,78.03,42.72,1.1576
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,29,100k,0.5,medium,2026-05-10T23:17:14.996776+00:00,6186,0,0.0,217.05,259.94,439.05,227.67,1.1456
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,30,100k,0.5,large,2026-05-11T01:02:15.124854+00:00,2415,0,0.0,2208.6,2313.25,2838.11,2236.89,0.4472
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,31,100k,2.0,small,2026-05-11T02:47:17.226894+00:00,6254,0,0.0,41.85,50.94,81.6,43.09,1.1581
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,32,100k,2.0,medium,2026-05-11T14:02:02.336984+00:00,6265,0,0.0,224.56,277.21,294.32,235.15,1.1602
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,33,100k,2.0,large,2026-05-11T15:47:02.476028+00:00,2443,0,0.0,2200.04,2290.7,2374.37,2210.69,0.4524
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,34,100k,4.0,small,2026-05-11T17:32:03.215851+00:00,6618,0,0.0,39.67,48.04,65.12,40.3,1.2256
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,35,100k,4.0,medium,2026-05-11T19:17:03.230831+00:00,6880,0,0.0,204.78,261.55,275.0,212.2,1.2741
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,36,100k,4.0,large,2026-05-11T21:02:05.402744+00:00,2470,0,0.0,2180.28,2273.25,2392.31,2186.48,0.4574
