deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,1,1k,0.5,small,2026-05-08T21:52:41.942755+00:00,65,0,0.0,9.13,13.18,23.49,9.82,0.012
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,2,1k,0.5,medium,2026-05-08T23:38:36.707454+00:00,62,0,0.0,8.69,14.94,41.19,10.33,0.0115
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,3,1k,0.5,large,2026-05-09T01:24:52.368737+00:00,64,0,0.0,9.46,17.49,39.36,11.69,0.0119
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,4,1k,2.0,small,2026-05-09T03:10:40.030669+00:00,41,0,0.0,8.42,12.27,15.97,9.13,0.0076
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,5,1k,2.0,medium,2026-05-09T05:02:20.072815+00:00,73,0,0.0,8.55,13.72,37.33,9.88,0.0135
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,6,1k,2.0,large,2026-05-09T06:50:40.635499+00:00,97,0,0.0,8.79,11.08,17.16,9.26,0.018
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,7,1k,4.0,small,2026-05-09T08:43:47.386226+00:00,52,0,0.0,8.26,14.22,21.53,9.04,0.0096
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,8,1k,4.0,medium,2026-05-09T10:39:45.006187+00:00,135,0,0.0,8.23,12.15,14.92,8.7,0.025
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,9,1k,4.0,large,2026-05-09T12:28:17.990367+00:00,102,0,0.0,8.54,13.66,22.91,9.41,0.0189
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,10,10k,0.5,small,2026-05-09T14:34:26.228567+00:00,646,0,0.0,8.5,10.63,18.19,8.98,0.1196
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,11,10k,0.5,medium,2026-05-09T16:19:29.404667+00:00,624,0,0.0,8.54,11.18,18.5,9.03,0.1156
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,12,10k,0.5,large,2026-05-09T18:04:32.533731+00:00,632,0,0.0,8.81,12.91,33.95,9.97,0.117
