deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,1,1k,0.5,small,2026-05-08T21:52:37.439705+00:00,62,0,0.0,47.27,54.38,55.42,47.63,0.0115
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,2,1k,0.5,medium,2026-05-08T23:37:54.043021+00:00,61,0,0.0,58.2,76.35,92.29,60.06,0.0113
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,3,1k,0.5,large,2026-05-09T01:23:47.000696+00:00,59,0,0.0,98.0,130.16,155.34,102.27,0.0109
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,4,1k,2.0,small,2026-05-09T03:08:56.229053+00:00,42,0,0.0,35.27,50.85,55.19,39.22,0.0078
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,5,1k,2.0,medium,2026-05-09T04:54:05.289733+00:00,47,0,0.0,44.43,63.41,74.38,48.33,0.0087
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,6,1k,2.0,large,2026-05-09T06:53:18.823652+00:00,65,0,0.0,83.37,108.33,131.35,87.62,0.012
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,7,1k,4.0,small,2026-05-09T08:42:33.332885+00:00,123,0,0.0,31.48,47.93,50.77,33.31,0.0228
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,8,1k,4.0,medium,2026-05-09T10:28:53.905072+00:00,71,0,0.0,38.2,61.4,70.99,42.29,0.0131
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,9,1k,4.0,large,2026-05-09T13:22:45.436686+00:00,93,0,0.0,77.98,109.26,123.52,82.87,0.0172
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,10,10k,0.5,small,2026-05-09T15:14:39.220057+00:00,613,0,0.0,32.53,41.36,49.64,33.13,0.1135
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,11,10k,0.5,medium,2026-05-09T16:59:42.732522+00:00,632,0,0.0,37.91,51.34,62.66,38.86,0.117
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,12,10k,0.5,large,2026-05-09T18:44:46.511965+00:00,644,0,0.0,77.68,89.85,112.78,79.3,0.1193
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,13,10k,2.0,small,2026-05-09T20:30:00.121285+00:00,605,0,0.0,32.79,46.33,50.69,33.9,0.112
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,14,10k,2.0,medium,2026-05-09T22:15:21.761478+00:00,655,0,0.0,38.23,56.66,66.81,39.73,0.1213
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,15,10k,2.0,large,2026-05-10T00:01:06.977675+00:00,684,0,0.0,77.63,96.79,112.44,79.42,0.1267
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,16,10k,4.0,small,2026-05-10T01:46:39.034976+00:00,653,0,0.0,31.6,45.51,51.96,32.71,0.1209
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,17,10k,4.0,medium,2026-05-10T03:32:13.564806+00:00,494,0,0.0,37.64,58.15,66.41,39.72,0.0915
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,18,10k,4.0,large,2026-05-10T05:19:08.043855+00:00,576,0,0.0,76.31,97.4,116.69,78.39,0.1067
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,19,50k,0.5,small,2026-05-10T07:05:35.049687+00:00,3078,0,0.0,31.91,36.21,49.24,32.31,0.57
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,20,50k,0.5,medium,2026-05-10T08:50:36.512061+00:00,3159,0,0.0,37.65,45.38,58.03,38.16,0.585
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,21,50k,0.5,large,2026-05-10T10:35:37.844428+00:00,3124,0,0.0,76.49,84.8,100.2,77.33,0.5785
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,22,50k,2.0,small,2026-05-10T12:20:40.405399+00:00,3165,0,0.0,31.93,36.3,47.38,32.28,0.5861
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,23,50k,2.0,medium,2026-05-10T14:05:41.071719+00:00,3183,0,0.0,37.87,45.18,56.83,38.17,0.5894
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,24,50k,2.0,large,2026-05-10T15:50:42.110429+00:00,3037,0,0.0,76.5,84.6,101.71,77.15,0.5624
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,25,50k,4.0,small,2026-05-10T17:35:50.017050+00:00,3521,0,0.0,31.46,35.68,47.35,31.86,0.652
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,26,50k,4.0,medium,2026-05-10T19:20:50.066818+00:00,2716,0,0.0,37.56,45.65,59.1,38.03,0.503
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,27,50k,4.0,large,2026-05-10T21:05:53.626576+00:00,3090,0,0.0,76.77,85.46,101.99,77.55,0.5722
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,28,100k,0.5,small,2026-05-10T22:51:05.497106+00:00,6241,0,0.0,32.26,36.47,46.1,32.54,1.1557
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,29,100k,0.5,medium,2026-05-11T00:36:06.208420+00:00,6258,0,0.0,38.07,45.44,58.18,38.39,1.1589
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,30,100k,0.5,large,2026-05-11T02:21:06.262702+00:00,6221,0,0.0,76.84,85.09,99.39,77.52,1.152
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,31,100k,2.0,small,2026-05-11T04:06:06.317410+00:00,6055,0,0.0,31.67,36.0,47.82,32.05,1.1213
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,32,100k,2.0,medium,2026-05-11T14:02:01.336279+00:00,6303,0,0.0,41.0,48.76,63.7,41.42,1.1672
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,33,100k,2.0,large,2026-05-11T15:47:02.593519+00:00,6097,0,0.0,92.24,101.7,120.46,93.21,1.1291
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,34,100k,4.0,small,2026-05-11T17:32:03.275307+00:00,6819,0,0.0,32.72,37.02,51.73,33.18,1.2628
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,35,100k,4.0,medium,2026-05-11T19:17:11.312034+00:00,6353,0,0.0,40.8,48.44,64.12,42.52,1.1765
