deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,1,1k,0.5,small,2026-05-08T21:52:27.933154+00:00,59,0,0.0,114.32,132.22,614.03,131.31,0.0109
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,2,1k,0.5,medium,2026-05-08T23:38:06.856210+00:00,63,0,0.0,111.56,131.0,486.26,127.63,0.0117
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,3,1k,0.5,large,2026-05-09T01:23:17.607951+00:00,63,0,0.0,113.5,135.25,546.99,130.26,0.0117
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,4,1k,2.0,small,2026-05-09T03:09:15.542056+00:00,47,0,0.0,78.95,1167.69,1215.95,289.03,0.0087
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,5,1k,2.0,medium,2026-05-09T04:55:12.677256+00:00,83,0,0.0,80.13,859.89,1194.16,152.04,0.0154
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,6,1k,2.0,large,2026-05-09T06:44:07.533419+00:00,59,0,0.0,82.68,1226.78,1380.14,243.61,0.0109
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,7,1k,4.0,small,2026-05-09T08:33:48.432031+00:00,48,0,0.0,77.18,1113.6,1151.93,226.63,0.0089
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,8,1k,4.0,medium,2026-05-09T10:34:15.354943+00:00,31,0,0.0,79.36,1211.04,1411.45,292.93,0.0057
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,9,1k,4.0,large,2026-05-09T12:23:33.664889+00:00,133,0,0.0,75.82,1103.26,1228.89,162.64,0.0246
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,10,10k,0.5,small,2026-05-09T14:20:55.274060+00:00,620,0,0.0,68.25,86.18,103.1,71.61,0.1148
