deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,1,1k,0.5,small,2026-05-08T21:52:28.433637+00:00,63,0,0.0,114.95,130.77,547.13,129.14,0.0117
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,2,1k,0.5,medium,2026-05-08T23:38:43.261757+00:00,71,0,0.0,112.33,140.37,652.32,132.29,0.0131
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,3,1k,0.5,large,2026-05-09T01:24:36.489586+00:00,57,0,0.0,113.47,135.31,641.92,132.77,0.0106
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,4,1k,2.0,small,2026-05-09T03:09:52.766634+00:00,92,0,0.0,80.97,128.08,1218.13,126.53,0.017
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,5,1k,2.0,medium,2026-05-09T04:57:39.407926+00:00,69,0,0.0,80.25,1077.91,1213.0,191.38,0.0128
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,6,1k,2.0,large,2026-05-09T06:46:53.532819+00:00,63,0,0.0,95.97,1195.89,1212.7,228.85,0.0117
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,7,1k,4.0,small,2026-05-09T08:38:35.572798+00:00,96,0,0.0,74.01,1084.54,1162.65,155.41,0.0178
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,8,1k,4.0,medium,2026-05-09T10:27:46.313513+00:00,80,0,0.0,74.17,1096.51,1301.18,160.16,0.0148
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,9,1k,4.0,large,2026-05-09T12:17:25.834119+00:00,87,0,0.0,75.88,130.59,1210.55,128.13,0.0161
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,10,10k,0.5,small,2026-05-09T14:05:59.354491+00:00,626,0,0.0,68.32,84.34,106.74,71.71,0.1159
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,11,10k,0.5,medium,2026-05-09T15:51:06.520915+00:00,634,0,0.0,67.63,83.31,102.42,71.08,0.1174
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,12,10k,0.5,large,2026-05-09T17:36:09.779954+00:00,630,0,0.0,67.53,81.78,103.12,71.21,0.1167
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,13,10k,2.0,small,2026-05-09T19:21:12.160102+00:00,575,0,0.0,67.72,101.03,113.06,72.75,0.1065
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,14,10k,2.0,medium,2026-05-09T21:06:14.010716+00:00,697,0,0.0,67.18,99.23,109.79,71.44,0.1291
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,15,10k,2.0,large,2026-05-09T22:51:22.879358+00:00,529,0,0.0,67.81,104.24,113.6,73.41,0.098
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,16,10k,4.0,small,2026-05-10T00:36:31.245602+00:00,630,0,0.0,66.14,101.09,115.71,73.37,0.1167
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,17,10k,4.0,medium,2026-05-10T02:21:41.615809+00:00,647,0,0.0,66.63,102.17,114.35,76.55,0.1198
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,18,10k,4.0,large,2026-05-10T04:07:35.056594+00:00,533,0,0.0,66.26,100.53,128.37,77.01,0.0987
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,19,50k,0.5,small,2026-05-10T05:57:23.294999+00:00,3144,0,0.0,61.77,72.85,88.64,63.45,0.5822
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,20,50k,0.5,medium,2026-05-10T07:42:24.411148+00:00,3109,0,0.0,61.64,71.24,86.02,63.04,0.5757
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,21,50k,0.5,large,2026-05-10T09:27:25.806680+00:00,3135,0,0.0,61.73,71.67,86.25,63.63,0.5806
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,22,50k,2.0,small,2026-05-10T11:12:25.812717+00:00,3231,0,0.0,62.13,72.54,88.04,63.48,0.5983
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,23,50k,2.0,medium,2026-05-10T12:57:26.108361+00:00,3324,0,0.0,62.84,74.19,91.37,64.15,0.6156
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,24,50k,2.0,large,2026-05-10T14:42:32.651353+00:00,3155,0,0.0,63.11,73.01,89.98,64.87,0.5843
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,25,50k,4.0,small,2026-05-10T16:27:36.636627+00:00,2783,0,0.0,62.84,75.66,100.81,64.8,0.5154
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,26,50k,4.0,medium,2026-05-10T18:12:46.725905+00:00,2972,0,0.0,62.34,73.18,94.51,63.73,0.5504
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,27,50k,4.0,large,2026-05-10T19:57:51.591331+00:00,3195,0,0.0,61.99,72.73,96.79,63.44,0.5917
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,28,100k,0.5,small,2026-05-10T21:43:05.198648+00:00,6247,0,0.0,62.88,73.68,90.03,64.09,1.1569
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,29,100k,0.5,medium,2026-05-10T23:28:05.890636+00:00,6222,0,0.0,61.23,70.28,86.74,62.24,1.1522
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,30,100k,0.5,large,2026-05-11T01:13:06.643165+00:00,6267,0,0.0,61.39,70.92,86.03,62.39,1.1606
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,31,100k,2.0,small,2026-05-11T02:58:06.798473+00:00,6216,0,0.0,61.68,71.63,92.7,65.54,1.1511
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,32,100k,2.0,medium,2026-05-11T04:43:07.230947+00:00,6464,0,0.0,59.83,69.24,86.34,60.89,1.197
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,33,100k,2.0,large,2026-05-11T06:28:07.857712+00:00,6387,0,0.0,60.03,69.13,83.68,61.05,1.1828
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,34,100k,4.0,small,2026-05-11T08:13:13.186360+00:00,6672,0,0.0,59.89,69.52,86.81,61.05,1.2356
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,35,100k,4.0,medium,2026-05-11T09:58:20.502868+00:00,6229,0,0.0,61.7,71.68,89.95,62.82,1.1535
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,36,100k,4.0,large,2026-05-11T11:43:30.115757+00:00,5763,0,0.0,62.52,72.91,96.04,63.81,1.0672
