deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,1,1k,0.5,small,2026-05-08T21:52:40.942049+00:00,68,0,0.0,55.76,63.39,70.13,56.45,0.0126
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,2,1k,0.5,medium,2026-05-08T23:38:03.333663+00:00,59,0,0.0,405.18,443.14,458.95,410.66,0.0109
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,3,1k,0.5,large,2026-05-09T01:23:40.050992+00:00,59,0,0.0,875.18,922.82,989.13,878.22,0.0109
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,4,1k,2.0,small,2026-05-09T03:10:09.244470+00:00,48,0,0.0,45.21,62.64,73.87,48.78,0.0089
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,5,1k,2.0,medium,2026-05-09T04:57:38.831902+00:00,67,0,0.0,399.63,434.09,455.76,403.25,0.0124
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,6,1k,2.0,large,2026-05-09T07:01:02.014677+00:00,60,0,0.0,879.99,965.37,979.69,890.38,0.0111
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,7,1k,4.0,small,2026-05-09T08:50:15.356590+00:00,58,0,0.0,41.55,57.79,59.63,43.51,0.0107
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,8,1k,4.0,medium,2026-05-09T10:35:33.715795+00:00,137,0,0.0,399.48,425.62,461.52,401.39,0.0254
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,9,1k,4.0,large,2026-05-09T12:23:26.356414+00:00,79,0,0.0,870.9,942.53,981.12,876.72,0.0146
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,10,10k,0.5,small,2026-05-09T14:22:18.252672+00:00,606,0,0.0,42.89,50.2,58.64,43.49,0.1122
svc-ml-inference-2gb-slim-container,ml-inference,fargate,2048,slim,11,10k,0.5,medium,2026-05-09T16:07:21.415328+00:00,627,0,0.0,392.02,430.87,445.45,397.47,0.1161
