deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps,image_size_mb,state_management,cold_start_rate_pct,cold_start_duration_ms,alb_lcu_cost_usd,estimated_cost_usd,invocation_frequency_numeric,duration_tier_numeric,log_invocations,sustained_load,arch_enterprise-microservice,arch_event-driven-api,arch_ml-inference,platform_is_lambda
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,1,1k,0.5,small,2026-05-08 21:52:27.933154+00:00,59,0,0.0,114.32,132.22,614.03,131.31,0.0109,50,0,1.6949,778.72,0.0,7.6e-05,1000,500,6.907755278982137,0.5,0,1,0,1
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,1,1k,0.5,small,2026-05-08 21:52:28.433637+00:00,63,0,0.0,114.95,130.77,547.13,129.14,0.0117,250,0,1.5873,751.65,0.0,8e-05,1000,500,6.907755278982137,0.5,0,1,0,1
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,1,1k,0.5,small,2026-05-08 21:52:29.434247+00:00,60,0,0.0,97.75,110.24,517.29,113.72,0.0111,250,0,1.6667,700.06,0.0,0.000239,1000,500,6.907755278982137,0.5,0,1,0,1
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,1,1k,0.5,small,2026-05-08 21:52:29.934572+00:00,59,0,0.0,137.42,153.39,1531.66,190.77,0.0109,50,0,1.6949,2781.21,0.0,0.000106,1000,500,6.907755278982137,0.5,0,0,0,1
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,1,1k,0.5,small,2026-05-08 21:52:30.434914+00:00,57,0,0.0,139.21,156.47,1102.07,175.24,0.0106,250,0,1.7544,1743.07,0.0,9.5e-05,1000,500,6.907755278982137,0.5,0,0,0,1
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,1,1k,0.5,small,2026-05-08 21:52:30.935256+00:00,62,0,0.0,107.76,133.58,715.53,133.16,0.0115,50,0,1.6129,1209.9,0.0,0.000288,1000,500,6.907755278982137,0.5,0,0,0,1
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,1,1k,0.5,small,2026-05-08 21:52:31.435635+00:00,64,0,0.0,109.11,133.16,930.44,143.56,0.0119,250,0,0.0,0.0,0.0,0.000319,1000,500,6.907755278982137,0.5,0,0,0,1
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,1,1k,0.5,small,2026-05-08 21:52:32.436299+00:00,61,0,0.0,353.57,398.48,2686.79,450.05,0.0113,250,0,1.6393,4048.93,0.0,0.000241,1000,500,6.907755278982137,0.5,0,0,1,1
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,1,1k,0.5,small,2026-05-08 21:52:32.936617+00:00,63,0,0.0,144.7,167.49,2342.51,235.97,0.0117,50,0,0.0,0.0,0.0,0.000508,1000,500,6.907755278982137,0.5,0,0,1,1
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,1,1k,0.5,small,2026-05-08 21:52:33.436959+00:00,65,0,0.0,143.63,164.23,1907.31,216.87,0.012,250,0,1.5385,4173.8,0.0,0.000483,1000,500,6.907755278982137,0.5,0,0,1,1
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,1,1k,0.5,small,2026-05-08 21:52:33.937299+00:00,66,0,0.0,52.58,65.23,812.93,76.14,0.0122,50,1,0.0,0.0,0.0,5.5e-05,1000,500,6.907755278982137,0.5,1,0,0,1
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,1,1k,0.5,small,2026-05-08 21:52:35.438320+00:00,67,0,0.0,50.65,70.41,751.96,72.43,0.0124,250,1,1.4925,383.01,0.0,0.000175,1000,500,6.907755278982137,0.5,1,0,0,1
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,1,1k,0.5,small,2026-05-08 21:52:35.938637+00:00,59,0,0.0,55.69,70.29,90.95,57.4,0.0109,50,0,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,0,1,0,0
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,1,1k,0.5,small,2026-05-08 21:52:36.438974+00:00,73,0,0.0,52.17,58.35,59.22,51.59,0.0135,250,0,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,0,1,0,0
svc-event-driven-api-2gb-slim-container,event-driven-api,fargate,2048,slim,1,1k,0.5,small,2026-05-08 21:52:36.939331+00:00,59,0,0.0,44.25,50.8,52.06,44.42,0.0109,50,0,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,0,1,0,0
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,1,1k,0.5,small,2026-05-08 21:52:37.439705+00:00,62,0,0.0,47.27,54.38,55.42,47.63,0.0115,250,0,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,0,1,0,0
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,1,1k,0.5,small,2026-05-08 21:52:37.940031+00:00,65,0,0.0,64.76,82.56,88.84,65.04,0.012,50,0,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,0,0,0,0
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,1,1k,0.5,small,2026-05-08 21:52:38.440338+00:00,65,0,0.0,66.22,74.43,88.19,66.03,0.012,250,0,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,0,0,0,0
